cohort,target_window,stream,june_year_horizon,n,q10,q25,median,q75,q90,width50_pct,width80_pct
all_available,all_targets,HEAVY_RUC,1,19,-0.041592513050919704,-0.023983200144518074,0.009004540519760846,0.021181495236880343,0.025533666337802276,4.510530404199475,6.660185560780862
all_available,all_targets,HEAVY_RUC,2,43,-0.0560414225772252,-0.022338697262184695,0.0024480621275570894,0.011172897288202229,0.04477825784200196,3.3326583349438943,10.029596711451038
all_available,all_targets,HEAVY_RUC,3,23,-0.039382881453787884,-0.03652271274201485,-0.016542448886917114,0.000759268476619542,0.04262594588131615,3.6623361322931314,8.216493548121207
all_available,all_targets,HEAVY_RUC,4,33,-0.047784870882677424,-0.032715759321443,-0.02791433882624837,-0.013250323390478845,0.030324517898418103,1.9023463202075264,7.7450133193543325
all_available,all_targets,HEAVY_RUC,5,12,-0.057507132617168326,-0.039586191387293565,-0.026537331115995735,-0.007161417249662485,0.04046303525468604,3.1677060224788223,9.717766151685826
all_available,all_targets,LIGHT_RUC,1,13,-0.201182205074234,-0.05044908267824507,-0.03160924173067918,-0.006435295145260848,0.039995167487130646,4.278302727191196,22.304232713854354
all_available,all_targets,LIGHT_RUC,2,28,-0.11680622490556185,-0.07849503307779035,-0.0534369893251634,-0.018611360128949064,0.1219552650876873,5.705410989958592,23.994597413933395
all_available,all_targets,LIGHT_RUC,3,14,-0.14052814988393725,-0.08427287904969236,-0.056714849505778785,0.03014352988265611,0.07985163600400659,11.14220487900891,21.422715362206112
all_available,all_targets,LIGHT_RUC,4,18,-0.21468465330914527,-0.14354133467652797,-0.04840697625409828,-0.01605012542980611,0.012801118269711156,11.779299964943368,20.608758286447536
all_available,all_targets,LIGHT_RUC,5,6,-0.3021840659737779,-0.2350924153387165,-0.06239921086573195,-0.04261819215477656,-0.03011817986534198,16.77794058487525,23.112886277022927
all_available,all_targets,PED,1,26,-0.014568298330788964,-0.005467491233330559,0.0014257719817444543,0.010994366085640701,0.017057843317949385,1.6507597937559182,3.1666853206352097
all_available,all_targets,PED,2,61,-0.07807301470193519,-0.007835594267983925,0.0012570522414608965,0.013089017417173054,0.022408785179888785,2.0980029594216743,9.776485499545661
all_available,all_targets,PED,3,33,-0.10506562464934313,-0.07325524506343464,0.009834296692153735,0.021556924772815986,0.027100852879456922,9.24273696176543,12.720597994587003
all_available,all_targets,PED,4,51,-0.10548950439235366,-0.0760044085510968,0.005964499004731325,0.019024597781582882,0.02415661926104059,9.239459788154015,12.456683642092315
all_available,all_targets,PED,5,18,-0.10712728173806994,-0.08772252645614498,-0.05313814794801272,0.01369871549851783,0.024862101382847952,9.77779614159584,12.676242637644231
all_available,excl_2020_2021,HEAVY_RUC,1,13,-0.036958947547883717,-0.012452699606840168,0.009086015593727584,0.021297352485423353,0.024283765526325954,3.3901245287783266,6.086531998557943
all_available,excl_2020_2021,HEAVY_RUC,2,28,-0.03848567384686918,-0.016384343975337966,0.005976012777909158,0.02268965429688051,0.048492583791595024,3.9199873118773376,8.74420971722416
all_available,excl_2020_2021,HEAVY_RUC,3,14,-0.038665958368497844,-0.03172681979670267,-0.009434931945280861,0.04210100180820985,0.04659242542965321,7.4228623252490795,8.562288065953737
all_available,excl_2020_2021,HEAVY_RUC,4,18,-0.03956570042381246,-0.03251755192900104,-0.02938064800035941,-0.014472214239381612,0.03386003929189467,1.7626545567749896,7.323301544487116
all_available,excl_2020_2021,HEAVY_RUC,5,6,-0.061436875575942705,-0.056736690909972194,-0.043433406452064977,-0.0140832668773394,-0.006872588839585239,4.117261609860168,5.273866653926717
