FY,tier5_component,total_span80_with,total_span80_without,contribution_pct_of_span
2026,heavy_bev_proxy,216.73187179791694,216.73187179791694,0.0
2026,mvr_proxy,216.73187179791694,209.78731556486855,3.204215501596168
2026,tuc_fixed,216.73187179791694,216.73187179791694,0.0
2027,heavy_bev_proxy,344.16488792627206,344.16488792627206,0.0
2027,mvr_proxy,344.16488792627206,338.048836076322,1.7770702545520132
2027,tuc_fixed,344.16488792627206,344.16488792627206,0.0
2028,heavy_bev_proxy,479.87605914326195,478.44729852939327,0.29773533949984954
2028,mvr_proxy,479.87605914326195,478.928729487845,0.1974113184784165
2028,tuc_fixed,479.87605914326195,479.87605914326195,0.0
2029,heavy_bev_proxy,591.9563901451265,590.9532171683586,0.16946737858881564
2029,mvr_proxy,591.9563901451265,590.3418214648973,0.27275128828888995
2029,tuc_fixed,591.9563901451265,591.9563901451265,0.0
2030,heavy_bev_proxy,826.1799088773978,824.427833851505,0.2120694302858844
2030,mvr_proxy,826.1799088773978,827.7934180279772,-0.19529755362506818
2030,tuc_fixed,826.1799088773978,826.1799088773978,0.0
2031,heavy_bev_proxy,880.4560103619724,878.581183483795,0.21293816569059432
2031,mvr_proxy,880.4560103619724,880.5317785998423,-0.008605567680627462
2031,tuc_fixed,880.4560103619724,880.4560103619724,0.0
2032,heavy_bev_proxy,936.898787594846,933.8948771782807,0.32062272428346017
2032,mvr_proxy,936.898787594846,933.9975425824023,0.30966472055019273
2032,tuc_fixed,936.898787594846,936.898787594846,0.0
2033,heavy_bev_proxy,995.1993802873549,990.3158185711245,0.4907118928088838
2033,mvr_proxy,995.1993802873549,991.0791995027284,0.4140055617233968
2033,tuc_fixed,995.1993802873549,995.1993802873549,0.0
2034,heavy_bev_proxy,1055.658279728843,1051.0636298840218,0.43524026032375657
2034,mvr_proxy,1055.658279728843,1051.776429517764,0.3677184450328019
2034,tuc_fixed,1055.658279728843,1055.658279728843,0.0
2035,heavy_bev_proxy,1122.3526417370604,1119.1046806265576,0.28938864575360856
2035,mvr_proxy,1122.3526417370604,1117.3800254207044,0.4430529346516107
2035,tuc_fixed,1122.3526417370604,1122.3526417370604,0.0
2036,heavy_bev_proxy,1192.1371199193645,1187.8416262161836,0.3603187612739929
2036,mvr_proxy,1192.1371199193645,1190.0496373429005,0.1751042343690483
2036,tuc_fixed,1192.1371199193645,1192.1371199193645,0.0
2037,heavy_bev_proxy,1266.5299705142888,1260.8795653537882,0.4461327636965635
2037,mvr_proxy,1266.5299705142888,1268.5370700996482,-0.15847233244266223
2037,tuc_fixed,1266.5299705142888,1266.5299705142888,0.0
2038,heavy_bev_proxy,1348.937921577016,1340.040205160537,0.6596090356831843
2038,mvr_proxy,1348.937921577016,1348.7907172839832,0.010912606924164984
2038,tuc_fixed,1348.937921577016,1348.937921577016,0.0
2039,heavy_bev_proxy,1441.4299608734336,1432.4599593675375,0.622298810860067
2039,mvr_proxy,1441.4299608734336,1441.6717922522603,-0.016777185530409564
2039,tuc_fixed,1441.4299608734336,1441.4299608734336,0.0
2040,heavy_bev_proxy,1547.619273157141,1536.9398864333525,0.6900525800510664
2040,mvr_proxy,1547.619273157141,1544.0104662452795,0.23318441263008005
2040,tuc_fixed,1547.619273157141,1547.619273157141,0.0
2041,heavy_bev_proxy,1663.434337145396,1651.8977458887093,0.6935405263116409
2041,mvr_proxy,1663.434337145396,1655.9750815388088,0.4484250108355949
2041,tuc_fixed,1663.434337145396,1663.434337145396,0.0
2042,heavy_bev_proxy,1792.3685574007686,1777.7485627190708,0.8156801580417816
2042,mvr_proxy,1792.3685574007686,1789.1294032688147,0.1807192007792873
2042,tuc_fixed,1792.3685574007686,1792.3685574007686,0.0
2043,heavy_bev_proxy,1925.2562717301244,1912.9785036180692,0.6377212370289674
2043,mvr_proxy,1925.2562717301244,1919.394589684076,0.3044624309043696
2043,tuc_fixed,1925.2562717301244,1925.2562717301244,0.0
2044,heavy_bev_proxy,2056.7792769798307,2038.8087624095988,0.8737211022769422
2044,mvr_proxy,2056.7792769798307,2056.4536151838547,0.015833580181446403
2044,tuc_fixed,2056.7792769798307,2056.7792769798307,0.0
2045,heavy_bev_proxy,2188.2349999074995,2166.514233670572,0.9926157948230218
2045,mvr_proxy,2188.2349999074995,2192.1710633662187,-0.17987389192137052
2045,tuc_fixed,2188.2349999074995,2188.2349999074995,0.0
2046,heavy_bev_proxy,2337.438022936616,2311.242955680422,1.120674302340834
2046,mvr_proxy,2337.438022936616,2336.7271497538895,0.030412493326067942
2046,tuc_fixed,2337.438022936616,2337.438022936616,0.0
2047,heavy_bev_proxy,2483.5598255334444,2459.1439545558333,0.983099771811087
2047,mvr_proxy,2483.5598255334444,2485.1104849895764,-0.062436968104804404
2047,tuc_fixed,2483.5598255334444,2483.5598255334444,0.0
2048,heavy_bev_proxy,2643.188768148797,2609.838333095475,1.2617500291770571
2048,mvr_proxy,2643.188768148797,2637.248096885789,0.2247539538074166
2048,tuc_fixed,2643.188768148797,2643.188768148797,0.0
2049,heavy_bev_proxy,2796.6938997190828,2753.3505308968215,1.5498073931728793
2049,mvr_proxy,2796.6938997190828,2791.0778598630786,0.20080995837865007
2049,tuc_fixed,2796.6938997190828,2796.6938997190828,0.0
2050,heavy_bev_proxy,2935.4955367036546,2887.5556107029624,1.6331118682103378
2050,mvr_proxy,2935.4955367036546,2933.0495308061363,0.08332514449212709
2050,tuc_fixed,2935.4955367036546,2935.4955367036546,0.0
