engine,lever,series_id,FY,forecast_segment,baseline,adjusted_effective,ratio,current_code_exponent,owner_contract_expected_factor,audit_row_exists,first_divergent_layer
vnext,fleet_efficiency_Med,ped_volume,2026,,3063.2842870467116,3032.651444176244,0.9899999999999998,1,0.99,True,
vnext,fleet_efficiency_Med,ped_volume,2030,,2958.8957603061776,2813.88042674247,0.9509900498999998,5,0.9509900498999999,True,
vnext,fleet_efficiency_Med,ped_volume,2031,post_model_extrapolation,2951.1112385497568,2951.1112385497568,1.0,6,0.941480149401,False,revenue_sensitivity_impact_audit_frame (no adjusted row: ped bridge litres/rate end FY2030)
vnext,fleet_efficiency_Med,ped_volume,2040,post_model_extrapolation,2155.604214531386,2155.604214531386,1.0,15,0.8600583546412884,False,revenue_sensitivity_impact_audit_frame (no adjusted row: ped bridge litres/rate end FY2030)
vnext,fleet_efficiency_Med,ped_volume,2050,post_model_extrapolation,691.7562651185796,691.7562651185796,1.0,25,0.7778213593991467,False,revenue_sensitivity_impact_audit_frame (no adjusted row: ped bridge litres/rate end FY2030)
vnext,fleet_efficiency_Med,gross_ped_revenue,2026,,2145.0341891615885,2123.583847269972,0.9899999999999997,1,0.99,True,
vnext,fleet_efficiency_Med,gross_ped_revenue,2030,,2781.6793512770555,2645.3493850767663,0.9509900498999999,5,0.9509900498999999,True,
vnext,fleet_efficiency_Med,gross_ped_revenue,2031,post_model_extrapolation,2892.4608377320124,2892.4608377320124,1.0,6,0.941480149401,False,revenue_sensitivity_impact_audit_frame (no adjusted row: ped bridge litres/rate end FY2030)
vnext,fleet_efficiency_Med,gross_ped_revenue,2040,post_model_extrapolation,2888.321837394025,2888.321837394025,1.0,15,0.8600583546412884,False,revenue_sensitivity_impact_audit_frame (no adjusted row: ped bridge litres/rate end FY2030)
vnext,fleet_efficiency_Med,gross_ped_revenue,2050,post_model_extrapolation,1203.4991142835852,1203.4991142835852,1.0,25,0.7778213593991467,False,revenue_sensitivity_impact_audit_frame (no adjusted row: ped bridge litres/rate end FY2030)
vnext,fleet_efficiency_Med,light_petrol_vkt,2026,,33077.40799863644,33077.40799863644,1.0,1,,True,
vnext,fleet_efficiency_Med,light_petrol_vkt,2030,,33786.86651454969,33786.86651454969,1.0,5,,True,
vnext,fleet_efficiency_Med,light_petrol_vkt,2031,post_model_extrapolation,34036.47205467476,34036.47205467476,1.0,6,,True,
vnext,fleet_efficiency_Med,light_petrol_vkt,2040,post_model_extrapolation,27333.1879552974,27333.1879552974,1.0,15,,True,
vnext,fleet_efficiency_Med,light_petrol_vkt,2050,post_model_extrapolation,9860.981003271809,9860.981003271809,1.0,25,,True,
vnext,fleet_efficiency_Med,total_nltf_net_revenue,2026,,4599.805745017675,4578.355403126058,0.9953366852687527,1,,True,
vnext,fleet_efficiency_Med,total_nltf_net_revenue,2030,,6415.09982192275,6278.769855722461,0.9787485822536386,5,,True,
vnext,fleet_efficiency_Med,total_nltf_net_revenue,2031,post_model_extrapolation,6742.399475216947,6742.399475216947,1.0,6,,True,
vnext,fleet_efficiency_Med,total_nltf_net_revenue,2040,post_model_extrapolation,9443.274222917991,9443.274222917991,1.0,15,,True,
vnext,fleet_efficiency_Med,total_nltf_net_revenue,2050,post_model_extrapolation,12820.212970325007,12820.212970325007,1.0,25,,True,
vnext,fleet_efficiency_Custom10,ped_volume,2026,,3063.2842870467116,2756.9558583420403,0.8999999999999999,1,0.9,True,
vnext,fleet_efficiency_Custom10,ped_volume,2030,,2958.8957603061776,1747.198357503195,0.5904900000000001,5,0.5904900000000001,True,
vnext,fleet_efficiency_Custom10,ped_volume,2031,post_model_extrapolation,2951.1112385497568,2951.1112385497568,1.0,6,0.531441,False,revenue_sensitivity_impact_audit_frame (no adjusted row: ped bridge litres/rate end FY2030)
vnext,fleet_efficiency_Custom10,ped_volume,2040,post_model_extrapolation,2155.604214531386,2155.604214531386,1.0,15,0.20589113209464907,False,revenue_sensitivity_impact_audit_frame (no adjusted row: ped bridge litres/rate end FY2030)
vnext,fleet_efficiency_Custom10,ped_volume,2050,post_model_extrapolation,691.7562651185796,691.7562651185796,1.0,25,0.0717897987691853,False,revenue_sensitivity_impact_audit_frame (no adjusted row: ped bridge litres/rate end FY2030)
vnext,fleet_efficiency_Custom10,gross_ped_revenue,2026,,2145.0341891615885,1930.5307702454297,0.9,1,0.9,True,
vnext,fleet_efficiency_Custom10,gross_ped_revenue,2030,,2781.6793512770555,1642.5538401355886,0.5904900000000001,5,0.5904900000000001,True,
vnext,fleet_efficiency_Custom10,gross_ped_revenue,2031,post_model_extrapolation,2892.4608377320124,2892.4608377320124,1.0,6,0.531441,False,revenue_sensitivity_impact_audit_frame (no adjusted row: ped bridge litres/rate end FY2030)
vnext,fleet_efficiency_Custom10,gross_ped_revenue,2040,post_model_extrapolation,2888.321837394025,2888.321837394025,1.0,15,0.20589113209464907,False,revenue_sensitivity_impact_audit_frame (no adjusted row: ped bridge litres/rate end FY2030)
vnext,fleet_efficiency_Custom10,gross_ped_revenue,2050,post_model_extrapolation,1203.4991142835852,1203.4991142835852,1.0,25,0.0717897987691853,False,revenue_sensitivity_impact_audit_frame (no adjusted row: ped bridge litres/rate end FY2030)
vnext,fleet_efficiency_Custom10,light_petrol_vkt,2026,,33077.40799863644,33077.40799863644,1.0,1,,True,
vnext,fleet_efficiency_Custom10,light_petrol_vkt,2030,,33786.86651454969,33786.86651454969,1.0,5,,True,
vnext,fleet_efficiency_Custom10,light_petrol_vkt,2031,post_model_extrapolation,34036.47205467476,34036.47205467476,1.0,6,,True,
vnext,fleet_efficiency_Custom10,light_petrol_vkt,2040,post_model_extrapolation,27333.1879552974,27333.1879552974,1.0,15,,True,
vnext,fleet_efficiency_Custom10,light_petrol_vkt,2050,post_model_extrapolation,9860.981003271809,9860.981003271809,1.0,25,,True,
vnext,fleet_efficiency_Custom10,total_nltf_net_revenue,2026,,4599.805745017675,4385.302326101516,0.9533668526875292,1,,True,
vnext,fleet_efficiency_Custom10,total_nltf_net_revenue,2030,,6415.09982192275,5275.974310781284,0.8224305867776747,5,,True,
