engine,series_id,FY,adjusted_annual,adjusted_quarter_sum,additive_series,abs_gap,status
vnext,heavy_ruc_net_km,2027,4102.648453941279,4102648453.9412794,False,4102644351.2928257,reconciled
vnext,heavy_ruc_net_km,2028,4134.717390885671,4134717390.8856716,False,4134713256.1682806,reconciled
vnext,heavy_ruc_net_km,2029,4171.7848863087565,4171784886.308757,False,4171780714.5238705,reconciled
vnext,heavy_ruc_net_km,2030,4205.391223564057,4205391223.5640574,False,4205387018.172834,reconciled
vnext,light_ruc_net_km,2027,12755.890902215942,12755890902.21594,False,12755878146.325039,reconciled
vnext,light_ruc_net_km,2028,13172.838585303478,13172838585.30348,False,13172825412.464895,reconciled
vnext,light_ruc_net_km,2029,13558.882298459699,13558882298.459696,False,13558868739.577398,reconciled
vnext,light_ruc_net_km,2030,13780.021915637573,13780021915.637571,False,13780008135.615656,reconciled
vnext,ped_vkt_per_capita,2027,6079.751895309246,6079.751895309246,True,0.0,reconciled
vnext,ped_vkt_per_capita,2028,6046.435334217383,6046.435334217383,True,0.0,reconciled
vnext,ped_vkt_per_capita,2029,6011.756071076559,6011.756071076558,True,9.094947017729282e-13,reconciled
vnext,ped_vkt_per_capita,2030,5962.874638820405,5962.874638820405,True,0.0,reconciled
ar1,heavy_ruc_net_km,2027,4102.648453941279,4102648453.9412794,False,4102644351.2928257,reconciled
ar1,heavy_ruc_net_km,2028,4134.717390885671,4134717390.8856716,False,4134713256.1682806,reconciled
ar1,heavy_ruc_net_km,2029,4171.7848863087565,4171784886.308757,False,4171780714.5238705,reconciled
ar1,heavy_ruc_net_km,2030,4205.391223564057,4205391223.5640574,False,4205387018.172834,reconciled
ar1,light_ruc_net_km,2027,12755.890902215942,12755890902.21594,False,12755878146.325039,reconciled
ar1,light_ruc_net_km,2028,13172.838585303478,13172838585.30348,False,13172825412.464895,reconciled
ar1,light_ruc_net_km,2029,13558.882298459699,13558882298.459696,False,13558868739.577398,reconciled
ar1,light_ruc_net_km,2030,13780.021915637573,13780021915.637571,False,13780008135.615656,reconciled
ar1,ped_vkt_per_capita,2027,5907.260059893105,5907.260059893106,True,9.094947017729282e-13,reconciled
ar1,ped_vkt_per_capita,2028,5823.275428694183,5823.275428694182,True,9.094947017729282e-13,reconciled
ar1,ped_vkt_per_capita,2029,5773.053508664029,5773.053508664029,True,0.0,reconciled
ar1,ped_vkt_per_capita,2030,5725.171230096038,5725.171230096037,True,9.094947017729282e-13,reconciled
