engine,family,level,series_id,factor_fy2030,factor_fy2031,expected_fy2031,seam_residual,resets_to_baseline
vnext,fleet_efficiency,Low,ped_volume,0.975248753121875,0.9703725093562656,0.9703725093562656,0.0,False
vnext,fleet_efficiency,Med,ped_volume,0.9509900498999998,0.941480149401,0.9414801494009998,2.220446049250313e-16,False
vnext,fleet_efficiency,High,ped_volume,0.9272165023656249,0.9133082548301407,0.9133082548301406,1.1102230246251565e-16,False
vnext,fleet_efficiency,Custom10,ped_volume,0.59049,0.531441,0.5314409999999999,1.1102230246251565e-16,False
vnext,pt_mode_shift,Low,light_petrol_vkt,0.9875623439452147,0.9850934380853517,0.9850934380853517,0.0,False
vnext,pt_mode_shift,Med,light_petrol_vkt,0.9752487531218749,0.9703725093562656,0.9703725093562655,1.1102230246251565e-16,False
vnext,pt_mode_shift,High,light_petrol_vkt,0.9509900499,0.941480149401,0.941480149401,0.0,False
ar1,fleet_efficiency,Low,ped_volume,0.975248753121875,0.9703725093562656,0.9703725093562656,0.0,False
ar1,fleet_efficiency,Med,ped_volume,0.9509900498999999,0.941480149401,0.9414801494009999,1.1102230246251565e-16,False
ar1,fleet_efficiency,High,ped_volume,0.927216502365625,0.9133082548301407,0.9133082548301407,0.0,False
ar1,fleet_efficiency,Custom10,ped_volume,0.59049,0.531441,0.5314409999999999,1.1102230246251565e-16,False
ar1,pt_mode_shift,Low,light_petrol_vkt,0.9875623439452147,0.9850934380853518,0.9850934380853517,1.1102230246251565e-16,False
ar1,pt_mode_shift,Med,light_petrol_vkt,0.975248753121875,0.9703725093562656,0.9703725093562656,0.0,False
ar1,pt_mode_shift,High,light_petrol_vkt,0.9509900499,0.941480149401,0.941480149401,0.0,False
