engine,scenario,fy,light_petrol_vkt,ped_vkt_per_capita,implied_population,scenario_population_mean,implied_over_scenario,segment
ensemble,current_basecase,2026,33085.33429827859,6168.639959079953,5363473.069874748,5359982.15006672,1.0006512931779044,econometric
ensemble,current_basecase,2027,33206.16180160167,6139.480158254068,5408627.594790496,5395129.353543401,1.0025019309756178,econometric
ensemble,current_basecase,2028,33601.317609140344,6139.99400474286,5472532.641430087,5438626.389527487,1.006234341076984,econometric
ensemble,current_basecase,2029,33986.568464241995,6137.524012532262,5537504.764925487,5482135.400643706,1.010099962922346,econometric
ensemble,current_basecase,2030,34290.154354466984,6119.810756176223,5603139.659157066,5525992.483848856,1.0139607818023084,econometric
ensemble,current_basecase,2031,34543.478008938844,6117.785758686691,5646402.043401127,5568641.948767257,1.0139639243013432,post_model_extrapolation
ensemble,current_basecase,2032,34678.82650898696,6101.542241961072,5683616.556892176,5605358.477656132,1.0139612978452661,post_model_extrapolation
ensemble,current_basecase,2033,34677.58630504748,6061.920735189347,5720560.828805411,5641793.307760897,1.0139614333152123,post_model_extrapolation
ensemble,current_basecase,2034,34546.184366131616,5999.951801695699,5757743.646601997,5678464.964261343,1.013961287573246,post_model_extrapolation
ensemble,current_basecase,2035,34215.23408211758,5904.09633881265,5795168.662339015,5715374.986529042,1.0139612319398192,post_model_extrapolation
ensemble,current_basecase,2036,33619.767051769704,5763.879045444638,5832837.015957229,5752524.923941481,1.0139611897519116,post_model_extrapolation
ensemble,current_basecase,2037,32704.47366707134,5570.748464811457,5870750.380070917,5789916.3359471,1.0139611765410068,post_model_extrapolation
ensemble,current_basecase,2038,31414.72039798633,5316.499805633337,5908910.288061977,5827550.792130757,1.0139611817783012,post_model_extrapolation
ensemble,current_basecase,2039,29744.19060940855,5001.2777903803235,5947318.2366754,5865429.872279607,1.013961187189843,post_model_extrapolation
ensemble,current_basecase,2040,27740.342052234766,4634.222189654361,5985975.83736134,5903555.166449425,1.0139611926352992,post_model_extrapolation
