engine,series,fy,quarters,qsum,annual,rel_residual
ensemble,ped_vkt_per_capita,2027,4,6139.480158254068,6139.480158254068,0.0
ensemble,ped_vkt_per_capita,2028,4,6139.99400474286,6139.99400474286,0.0
ensemble,ped_vkt_per_capita,2029,4,6137.524012532262,6137.524012532262,0.0
ensemble,ped_vkt_per_capita,2030,4,6119.810756176223,6119.810756176223,0.0
ensemble,ped_vkt_per_capita,2031,4,6117.785758686691,6117.785758686691,0.0
ensemble,ped_vkt_per_capita,2032,4,6101.54224196107,6101.542241961072,2.9811961163465166e-16
ensemble,ped_vkt_per_capita,2033,4,6061.920735189347,6061.920735189347,0.0
ensemble,ped_vkt_per_capita,2034,4,5999.951801695699,5999.951801695699,0.0
ensemble,ped_vkt_per_capita,2035,4,5904.09633881265,5904.09633881265,0.0
ensemble,ped_vkt_per_capita,2036,4,5763.879045444638,5763.879045444638,0.0
ensemble,ped_vkt_per_capita,2037,4,5570.748464811457,5570.748464811457,0.0
ensemble,ped_vkt_per_capita,2038,4,5316.499805633337,5316.499805633337,0.0
ensemble,ped_vkt_per_capita,2039,4,5001.2777903803235,5001.2777903803235,0.0
ensemble,ped_vkt_per_capita,2040,4,4634.222189654361,4634.222189654361,0.0
ensemble,ped_vkt_per_capita,2041,4,4231.55518821845,4231.55518821845,0.0
ensemble,ped_vkt_per_capita,2042,4,3793.722992121345,3793.722992121345,0.0
ensemble,ped_vkt_per_capita,2043,4,3364.868812868045,3364.868812868045,0.0
ensemble,ped_vkt_per_capita,2044,4,2982.004893700063,2982.0048937000624,1.524971846448632e-16
ensemble,ped_vkt_per_capita,2045,4,2666.3656603547033,2666.3656603547033,0.0
ensemble,ped_vkt_per_capita,2046,4,2402.914143891279,2402.914143891279,0.0
ensemble,ped_vkt_per_capita,2047,4,2163.7945578233357,2163.7945578233357,0.0
ensemble,ped_vkt_per_capita,2048,4,1949.9246144203623,1949.9246144203623,0.0
ensemble,ped_vkt_per_capita,2049,4,1756.4056375214695,1756.40563752147,2.5890793172821693e-16
ensemble,ped_vkt_per_capita,2050,4,1581.2771575465833,1581.277157546583,1.4379115916403404e-16
ensemble,light_petrol_vkt,2026,4,33085.3342982786,33085.33429827859,2.1991488883223978e-16
ensemble,light_petrol_vkt,2027,4,33206.16180160167,33206.16180160167,0.0
ensemble,light_petrol_vkt,2028,4,33601.317609140344,33601.317609140344,0.0
ensemble,light_petrol_vkt,2029,4,33986.568464241995,33986.568464241995,0.0
ensemble,light_petrol_vkt,2030,4,34290.154354466984,34290.154354466984,0.0
ensemble,light_petrol_vkt,2031,4,34543.478008938844,34543.478008938844,0.0
ensemble,light_petrol_vkt,2032,4,34678.82650898696,34678.82650898696,0.0
ensemble,light_petrol_vkt,2033,4,34677.58630504748,34677.58630504748,0.0
ensemble,light_petrol_vkt,2034,4,34546.184366131616,34546.184366131616,0.0
ensemble,light_petrol_vkt,2035,4,34215.23408211758,34215.23408211758,0.0
ensemble,light_petrol_vkt,2036,4,33619.767051769704,33619.767051769704,0.0
ensemble,light_petrol_vkt,2037,4,32704.47366707134,32704.47366707134,0.0
ensemble,light_petrol_vkt,2038,4,31414.72039798633,31414.72039798633,0.0
ensemble,light_petrol_vkt,2039,4,29744.19060940855,29744.19060940855,0.0
ensemble,light_petrol_vkt,2040,4,27740.342052234766,27740.342052234766,0.0
ensemble,light_petrol_vkt,2041,4,25489.894812956176,25489.894812956176,0.0
ensemble,light_petrol_vkt,2042,4,22979.609765186484,22979.609765186484,0.0
ensemble,light_petrol_vkt,2043,4,20494.024285330277,20494.024285330277,0.0
ensemble,light_petrol_vkt,2044,4,18262.050454860753,18262.050454860753,0.0
ensemble,light_petrol_vkt,2045,4,16418.874365045725,16418.874365045725,0.0
ensemble,light_petrol_vkt,2046,4,14877.966501232595,14877.966501232595,0.0
ensemble,light_petrol_vkt,2047,4,13471.111856152038,13471.111856152038,0.0
ensemble,light_petrol_vkt,2048,4,12206.392102439078,12206.392102439078,0.0
ensemble,light_petrol_vkt,2049,4,11055.449225656499,11055.449225656499,0.0
ensemble,light_petrol_vkt,2050,4,10007.869789968407,10007.869789968407,0.0
ar1,ped_vkt_per_capita,2027,4,5961.306920442689,5961.306920442689,0.0
ar1,ped_vkt_per_capita,2028,4,5916.055674224165,5916.055674224165,0.0
ar1,ped_vkt_per_capita,2029,4,5902.064077713241,5902.064077713241,0.0
ar1,ped_vkt_per_capita,2030,4,5888.384227680278,5888.384227680278,0.0
ar1,ped_vkt_per_capita,2031,4,5865.077484201897,5865.077484201897,0.0
ar1,ped_vkt_per_capita,2032,4,5825.52096871957,5825.52096871957,0.0
ar1,ped_vkt_per_capita,2033,4,5770.886073040316,5770.886073040316,0.0
ar1,ped_vkt_per_capita,2034,4,5698.201578261929,5698.201578261929,0.0
ar1,ped_vkt_per_capita,2035,4,5599.687448835718,5599.687448835718,0.0
ar1,ped_vkt_per_capita,2036,4,5464.164898051315,5464.164898051314,1.6644715500758067e-16
ar1,ped_vkt_per_capita,2037,4,5282.295459614381,5282.295459614382,1.7217793073606737e-16
ar1,ped_vkt_per_capita,2038,4,5046.073708935011,5046.073708935011,0.0
ar1,ped_vkt_per_capita,2039,4,4754.718135831377,4754.718135831377,0.0
ar1,ped_vkt_per_capita,2040,4,4415.39171672045,4415.39171672045,0.0
ar1,ped_vkt_per_capita,2041,4,4041.882896110227,4041.882896110227,0.0
ar1,ped_vkt_per_capita,2042,4,3633.042633209116,3633.042633209116,0.0
ar1,ped_vkt_per_capita,2043,4,3229.883309866362,3229.883309866362,0.0
ar1,ped_vkt_per_capita,2044,4,2867.2985214553355,2867.2985214553355,0.0
ar1,ped_vkt_per_capita,2045,4,2565.536767265805,2565.536767265806,3.5450464533479005e-16
ar1,ped_vkt_per_capita,2046,4,2312.0454377670126,2312.0454377670126,0.0
ar1,ped_vkt_per_capita,2047,4,2081.9685060319844,2081.9685060319844,0.0
ar1,ped_vkt_per_capita,2048,4,1876.1862765471717,1876.1862765471712,2.4237857219772217e-16
ar1,ped_vkt_per_capita,2049,4,1689.98541977273,1689.98541977273,0.0
ar1,ped_vkt_per_capita,2050,4,1521.479603481342,1521.479603481342,0.0
ar1,light_petrol_vkt,2026,4,32946.371722443735,32946.371722443735,0.0
ar1,light_petrol_vkt,2027,4,32242.110482569053,32242.11048256905,1.1283314747831108e-16
ar1,light_petrol_vkt,2028,4,32375.58680046918,32375.58680046918,0.0
ar1,light_petrol_vkt,2029,4,32682.67332088302,32682.67332088302,0.0
ar1,light_petrol_vkt,2030,4,32993.321829443696,32993.321829443696,0.0
ar1,light_petrol_vkt,2031,4,33116.39984458074,33116.39984458074,0.0
ar1,light_petrol_vkt,2032,4,33109.89896657733,33109.89896657733,0.0
ar1,light_petrol_vkt,2033,4,33012.56894724652,33012.56894724652,0.0
ar1,light_petrol_vkt,2034,4,32808.65481914041,32808.65481914041,0.0
