engine,scenario,fy,period,quarterly_ped_vkt_per_capita,population,quarterly_light_petrol_vkt,recomputed_petrol_from_identity,identity_residual,identity_rel_residual,positive
ensemble,current_basecase,2031,2030Q3,1525.2782904667845,5553567.378906228,8470.735757690192,8470.735757690192,0.0,0.0,True
ensemble,current_basecase,2031,2030Q4,1538.382732168751,5564641.346909503,8560.548158797841,8560.548158797841,0.0,0.0,True
ensemble,current_basecase,2031,2031Q1,1527.6190649022249,5573661.931102861,8514.43222727248,8514.43222727248,0.0,0.0,True
ensemble,current_basecase,2031,2031Q2,1520.9057021723484,5582697.138150437,8490.75591091425,8490.75591091425,0.0,0.0,True
ensemble,current_basecase,2032,2031Q3,1523.7510179222768,5591746.991756667,8520.430170653051,8520.430170653051,0.0,0.0,True
ensemble,current_basecase,2032,2031Q4,1536.176076022611,5600811.515664415,8603.832656675613,8603.832656675613,0.0,0.0,True
ensemble,current_basecase,2032,2032Q1,1521.3567941987496,5609890.73365503,8534.645382358687,8534.645382358689,-1.8189894035458565e-12,-2.1313005075826002e-16,True
ensemble,current_basecase,2032,2032Q2,1514.6732534866878,5618984.669548416,8510.92579071672,8510.92579071672,0.0,0.0,True
ensemble,current_basecase,2033,2032Q3,1513.761395034088,5628093.347203086,8519.590436644214,8519.590436644214,0.0,0.0,True
ensemble,current_basecase,2033,2032Q4,1526.0990517391404,5637216.790516234,8602.951198454784,8602.951198454784,0.0,0.0,True
ensemble,current_basecase,2033,2033Q1,1511.465939932985,5646355.023423788,8534.273302674566,8534.273302674568,-1.8189894035458565e-12,-2.13139342863065e-16,True
ensemble,current_basecase,2033,2033Q2,1505.0455160469285,5655508.06990048,8511.797061570936,8511.797061570936,0.0,0.0,True
ensemble,current_basecase,2034,2033Q3,1498.3890986539097,5664675.9539599065,8487.88869682046,8487.88869682046,0.0,0.0,True
ensemble,current_basecase,2034,2033Q4,1510.6174537022675,5673858.699654589,8571.029981538675,8571.029981538675,0.0,0.0,True
ensemble,current_basecase,2034,2034Q1,1496.0010394317458,5683056.331076043,8501.858178438924,8501.858178438924,0.0,0.0,True
ensemble,current_basecase,2034,2034Q2,1489.4521012796206,5692268.872354833,8478.361832977482,8478.361832977484,-1.8189894035458565e-12,-2.1454491320135755e-16,True
ensemble,current_basecase,2035,2034Q3,1474.5084460980968,5701496.347660646,8406.904520023074,8406.904520023074,0.0,0.0,True
ensemble,current_basecase,2035,2034Q4,1486.4974393376115,5710738.781202344,8488.998574983278,8488.998574983278,0.0,0.0,True
ensemble,current_basecase,2035,2035Q1,1472.100312888302,5719996.197228037,8420.408191659291,8420.40819165929,1.8189894035458565e-12,2.160215232021209e-16,True
ensemble,current_basecase,2035,2035Q2,1465.5857740011147,5729268.62002514,8396.734584939843,8396.734584939843,0.0,0.0,True
ensemble,current_basecase,2036,2035Q3,1439.5265721683006,5738556.073920441,8260.803954286273,8260.803954286273,0.0,0.0,True
ensemble,current_basecase,2036,2035Q4,1451.2188610283702,5747858.58328016,8341.400786579976,8341.400786579976,0.0,0.0,True
ensemble,current_basecase,2036,2036Q1,1437.1287565905309,5757176.17251002,8273.803434271958,8273.803434271957,1.8189894035458565e-12,2.1984924079912177e-16,True
ensemble,current_basecase,2036,2036Q2,1430.7288383020673,5766508.866055303,8250.310530989876,8250.310530989876,0.0,0.0,True
ensemble,current_basecase,2037,2036Q3,1391.3212356055571,5775856.688400923,8036.072064386594,8036.072064386593,9.094947017729282e-13,1.1317652386462904e-16,True
ensemble,current_basecase,2037,2036Q4,1402.5754027028813,5785219.664071481,8114.206800059685,8114.206800059685,0.0,0.0,True
ensemble,current_basecase,2037,2037Q1,1388.9675586748817,5794597.817631335,8048.5083842581935,8048.508384258193,9.094947017729282e-13,1.1300164680846682e-16,True
ensemble,current_basecase,2037,2037Q2,1382.785034247589,5803991.173684663,8025.672133876252,8025.672133876251,9.094947017729282e-13,1.1332318173501802e-16,True
ensemble,current_basecase,2038,2037Q3,1327.8196140516206,5813399.756875529,7719.146221502249,7719.146221502249,0.0,0.0,True
ensemble,current_basecase,2038,2037Q4,1338.554693558058,5822823.591887945,7794.167848682199,7794.167848682199,0.0,0.0,True
