engine,series_id,FY,reference_policy_state,central_changes_under_policy,rate_changes_under_policy,activity_changes_under_policy,band_should_change,reason,central_published,central_delayed_6m,central_off
ar1,coo_revenue,2025,published,False,False,False,False,not priced by the fuel rate and no activity response,-9.64521739130434e-05,-9.64521739130434e-05,-9.64521739130434e-05
ar1,coo_revenue,2026,published,False,False,False,False,not priced by the fuel rate and no activity response,0.0,0.0,0.0
ar1,coo_revenue,2027,published,False,False,False,False,not priced by the fuel rate and no activity response,0.0,0.0,0.0
ar1,coo_revenue,2028,published,False,False,False,False,not priced by the fuel rate and no activity response,0.0,0.0,0.0
ar1,coo_revenue,2029,published,False,False,False,False,not priced by the fuel rate and no activity response,0.0,0.0,0.0
ar1,coo_revenue,2030,published,False,False,False,False,not priced by the fuel rate and no activity response,0.0,0.0,0.0
ar1,coo_revenue,2031,published,False,False,False,False,not priced by the fuel rate and no activity response,0.0,0.0,0.0
ar1,coo_revenue,2032,published,False,False,False,False,not priced by the fuel rate and no activity response,0.0,0.0,0.0
ar1,coo_revenue,2033,published,False,False,False,False,not priced by the fuel rate and no activity response,0.0,0.0,0.0
ar1,coo_revenue,2034,published,False,False,False,False,not priced by the fuel rate and no activity response,0.0,0.0,0.0
ar1,coo_revenue,2035,published,False,False,False,False,not priced by the fuel rate and no activity response,0.0,0.0,0.0
ar1,coo_revenue,2036,published,False,False,False,False,not priced by the fuel rate and no activity response,0.0,0.0,0.0
ar1,coo_revenue,2037,published,False,False,False,False,not priced by the fuel rate and no activity response,0.0,0.0,0.0
ar1,coo_revenue,2038,published,False,False,False,False,not priced by the fuel rate and no activity response,0.0,0.0,0.0
ar1,coo_revenue,2039,published,False,False,False,False,not priced by the fuel rate and no activity response,0.0,0.0,0.0
ar1,coo_revenue,2040,published,False,False,False,False,not priced by the fuel rate and no activity response,0.0,0.0,0.0
ar1,coo_revenue,2041,published,False,False,False,False,not priced by the fuel rate and no activity response,0.0,0.0,0.0
ar1,coo_revenue,2042,published,False,False,False,False,not priced by the fuel rate and no activity response,0.0,0.0,0.0
