vintage_id,series_id,display_name,source_series_id,source_label,unit,metric_type,section,row_role,source_rows,valued_rows,first_fy,last_fy,first_valued_fy,last_valued_fy,in_display_series_order,in_runtime_chart_pack,runtime_official_rows,selector_label,selectable,coverage_status
BEFU26,coo_revenue,MR13/COO revenue,coo_revenue,MR13 revenue (m $),$m nominal ex GST,revenue,MVR,deduction,55,55,2001,2055,2001,2055,False,False,0,,False,not_selectable_official_trace_not_required
MBU26,coo_revenue,MR13/COO revenue,coo_revenue,MR13 revenue (m $),$m nominal ex GST,revenue,MVR,deduction,55,55,2001,2055,2001,2055,False,False,0,,False,not_selectable_official_trace_not_required
BEFU26,fed_refunds,FED refunds,fed_refunds,FED refunds (m $),$m nominal ex GST,revenue,FED,deduction,55,55,2001,2055,2001,2055,False,False,0,,False,not_selectable_official_trace_not_required
MBU26,fed_refunds,FED refunds,fed_refunds,FED refunds (m $),$m nominal ex GST,revenue,FED,deduction,55,55,2001,2055,2001,2055,False,False,0,,False,not_selectable_official_trace_not_required
BEFU26,gross_cng_revenue,Gross CNG revenue,gross_cng_revenue,Gross CNG revenue (m $),$m nominal ex GST,revenue,FED,leaf,55,55,2001,2055,2001,2055,False,False,0,,False,not_selectable_official_trace_not_required
MBU26,gross_cng_revenue,Gross CNG revenue,gross_cng_revenue,Gross CNG revenue (m $),$m nominal ex GST,revenue,FED,leaf,55,55,2001,2055,2001,2055,False,False,0,,False,not_selectable_official_trace_not_required
BEFU26,gross_fed_revenue,Gross FED revenue,gross_fed_revenue,Gross FED revenue (m $),$m nominal ex GST,revenue,FED,aggregate,55,55,2001,2055,2001,2055,True,True,30,Gross FED revenue,True,official_trace_materialised
MBU26,gross_fed_revenue,Gross FED revenue,gross_fed_revenue,Gross FED revenue (m $),$m nominal ex GST,revenue,FED,aggregate,55,55,2001,2055,2001,2055,True,True,30,Gross FED revenue,True,official_trace_materialised
BEFU26,gross_lpg_revenue,Gross LPG revenue,gross_lpg_revenue,Gross LPG revenue (m $),$m nominal ex GST,revenue,FED,leaf,55,55,2001,2055,2001,2055,False,False,0,,False,not_selectable_official_trace_not_required
MBU26,gross_lpg_revenue,Gross LPG revenue,gross_lpg_revenue,Gross LPG revenue (m $),$m nominal ex GST,revenue,FED,leaf,55,55,2001,2055,2001,2055,False,False,0,,False,not_selectable_official_trace_not_required
