series_id,trace_name,june_year,period,value,value_unit,source,source_basis,coverage_row_type,empirical_or_derived
light_petrol_vkt,Actual,2003,FY2003,29953.204520719,million km,data/revenue_model_source_pack/official_vintages/befu26/official_annual.parquet#light_petrol_vkt:FY2003@93406dc1c609b879,BEFU26 annual source spine,official_annual_materialised_from_vintage_source,empirical
light_petrol_vkt,Actual,2004,FY2004,30590.2396299117,million km,data/revenue_model_source_pack/official_vintages/befu26/official_annual.parquet#light_petrol_vkt:FY2004@93406dc1c609b879,BEFU26 annual source spine,official_annual_materialised_from_vintage_source,empirical
light_petrol_vkt,Actual,2005,FY2005,30811.8477798768,million km,data/revenue_model_source_pack/official_vintages/befu26/official_annual.parquet#light_petrol_vkt:FY2005@93406dc1c609b879,BEFU26 annual source spine,official_annual_materialised_from_vintage_source,empirical
light_petrol_vkt,Actual,2006,FY2006,30575.531175087,million km,data/revenue_model_source_pack/official_vintages/befu26/official_annual.parquet#light_petrol_vkt:FY2006@93406dc1c609b879,BEFU26 annual source spine,official_annual_materialised_from_vintage_source,empirical
light_petrol_vkt,Actual,2007,FY2007,30719.5661338846,million km,data/revenue_model_source_pack/official_vintages/befu26/official_annual.parquet#light_petrol_vkt:FY2007@93406dc1c609b879,BEFU26 annual source spine,official_annual_materialised_from_vintage_source,empirical
light_petrol_vkt,Actual,2008,FY2008,30593.6062120975,million km,data/revenue_model_source_pack/official_vintages/befu26/official_annual.parquet#light_petrol_vkt:FY2008@93406dc1c609b879,BEFU26 annual source spine,official_annual_materialised_from_vintage_source,empirical
light_petrol_vkt,Actual,2009,FY2009,30068.5311441721,million km,data/revenue_model_source_pack/official_vintages/befu26/official_annual.parquet#light_petrol_vkt:FY2009@93406dc1c609b879,BEFU26 annual source spine,official_annual_materialised_from_vintage_source,empirical
light_petrol_vkt,Actual,2010,FY2010,30271.77099271,million km,data/revenue_model_source_pack/official_vintages/befu26/official_annual.parquet#light_petrol_vkt:FY2010@93406dc1c609b879,BEFU26 annual source spine,official_annual_materialised_from_vintage_source,empirical
light_petrol_vkt,Actual,2011,FY2011,29918.0402294712,million km,data/revenue_model_source_pack/official_vintages/befu26/official_annual.parquet#light_petrol_vkt:FY2011@93406dc1c609b879,BEFU26 annual source spine,official_annual_materialised_from_vintage_source,empirical
light_petrol_vkt,Actual,2012,FY2012,29556.8302371966,million km,data/revenue_model_source_pack/official_vintages/befu26/official_annual.parquet#light_petrol_vkt:FY2012@93406dc1c609b879,BEFU26 annual source spine,official_annual_materialised_from_vintage_source,empirical
light_petrol_vkt,Actual,2013,FY2013,29552.8937747171,million km,data/revenue_model_source_pack/official_vintages/befu26/official_annual.parquet#light_petrol_vkt:FY2013@93406dc1c609b879,BEFU26 annual source spine,official_annual_materialised_from_vintage_source,empirical
light_petrol_vkt,Actual,2014,FY2014,29898.9351710381,million km,data/revenue_model_source_pack/official_vintages/befu26/official_annual.parquet#light_petrol_vkt:FY2014@93406dc1c609b879,BEFU26 annual source spine,official_annual_materialised_from_vintage_source,empirical
light_petrol_vkt,Actual,2015,FY2015,30553.2369004304,million km,data/revenue_model_source_pack/official_vintages/befu26/official_annual.parquet#light_petrol_vkt:FY2015@93406dc1c609b879,BEFU26 annual source spine,official_annual_materialised_from_vintage_source,empirical
light_petrol_vkt,Actual,2016,FY2016,31727.3308918574,million km,data/revenue_model_source_pack/official_vintages/befu26/official_annual.parquet#light_petrol_vkt:FY2016@93406dc1c609b879,BEFU26 annual source spine,official_annual_materialised_from_vintage_source,empirical
light_petrol_vkt,Actual,2017,FY2017,32608.1656532766,million km,data/revenue_model_source_pack/official_vintages/befu26/official_annual.parquet#light_petrol_vkt:FY2017@93406dc1c609b879,BEFU26 annual source spine,official_annual_materialised_from_vintage_source,empirical
light_petrol_vkt,Actual,2018,FY2018,33176.0403810867,million km,data/revenue_model_source_pack/official_vintages/befu26/official_annual.parquet#light_petrol_vkt:FY2018@93406dc1c609b879,BEFU26 annual source spine,official_annual_materialised_from_vintage_source,empirical
light_petrol_vkt,Actual,2019,FY2019,33153.3589788155,million km,data/revenue_model_source_pack/official_vintages/befu26/official_annual.parquet#light_petrol_vkt:FY2019@93406dc1c609b879,BEFU26 annual source spine,official_annual_materialised_from_vintage_source,empirical
light_petrol_vkt,Actual,2020,FY2020,31138.4017018646,million km,data/revenue_model_source_pack/official_vintages/befu26/official_annual.parquet#light_petrol_vkt:FY2020@93406dc1c609b879,BEFU26 annual source spine,official_annual_materialised_from_vintage_source,empirical
light_petrol_vkt,Actual,2021,FY2021,30995.5168781725,million km,data/revenue_model_source_pack/official_vintages/befu26/official_annual.parquet#light_petrol_vkt:FY2021@93406dc1c609b879,BEFU26 annual source spine,official_annual_materialised_from_vintage_source,empirical
light_petrol_vkt,Actual,2022,FY2022,30043.3814050613,million km,data/revenue_model_source_pack/official_vintages/befu26/official_annual.parquet#light_petrol_vkt:FY2022@93406dc1c609b879,BEFU26 annual source spine,official_annual_materialised_from_vintage_source,empirical
light_petrol_vkt,Actual,2023,FY2023,31530.853293877,million km,data/revenue_model_source_pack/official_vintages/befu26/official_annual.parquet#light_petrol_vkt:FY2023@93406dc1c609b879,BEFU26 annual source spine,official_annual_materialised_from_vintage_source,empirical
light_petrol_vkt,Actual,2024,FY2024,32123.046958731,million km,data/revenue_model_source_pack/official_vintages/befu26/official_annual.parquet#light_petrol_vkt:FY2024@93406dc1c609b879,BEFU26 annual source spine,official_annual_materialised_from_vintage_source,empirical
light_petrol_vkt,Actual,2025,FY2025,31704.7370711529,million km,data/revenue_model_source_pack/official_vintages/befu26/official_annual.parquet#light_petrol_vkt:FY2025@93406dc1c609b879,BEFU26 annual source spine,official_annual_materialised_from_vintage_source,empirical
light_petrol_vkt,BEFU26 official,2026,FY2026,31430.5819237521,million km,data/revenue_model_source_pack/official_vintages/befu26/official_annual.parquet#light_petrol_vkt:FY2026@93406dc1c609b879,BEFU26 official annual,official_annual_materialised_from_vintage_source,empirical
light_petrol_vkt,BEFU26 official,2027,FY2027,31531.0333030703,million km,data/revenue_model_source_pack/official_vintages/befu26/official_annual.parquet#light_petrol_vkt:FY2027@93406dc1c609b879,BEFU26 official annual,official_annual_materialised_from_vintage_source,empirical
light_petrol_vkt,BEFU26 official,2028,FY2028,32115.9379503436,million km,data/revenue_model_source_pack/official_vintages/befu26/official_annual.parquet#light_petrol_vkt:FY2028@93406dc1c609b879,BEFU26 official annual,official_annual_materialised_from_vintage_source,empirical
light_petrol_vkt,BEFU26 official,2029,FY2029,32555.6061530432,million km,data/revenue_model_source_pack/official_vintages/befu26/official_annual.parquet#light_petrol_vkt:FY2029@93406dc1c609b879,BEFU26 official annual,official_annual_materialised_from_vintage_source,empirical
light_petrol_vkt,BEFU26 official,2030,FY2030,32890.9507033464,million km,data/revenue_model_source_pack/official_vintages/befu26/official_annual.parquet#light_petrol_vkt:FY2030@93406dc1c609b879,BEFU26 official annual,official_annual_materialised_from_vintage_source,empirical
light_petrol_vkt,BEFU26 official,2031,FY2031,32628.9159463756,million km,data/revenue_model_source_pack/official_vintages/befu26/official_annual.parquet#light_petrol_vkt:FY2031@93406dc1c609b879,BEFU26 official annual,official_annual_materialised_from_vintage_source,empirical
light_petrol_vkt,BEFU26 official,2032,FY2032,32277.9869692827,million km,data/revenue_model_source_pack/official_vintages/befu26/official_annual.parquet#light_petrol_vkt:FY2032@93406dc1c609b879,BEFU26 official annual,official_annual_materialised_from_vintage_source,empirical
light_petrol_vkt,BEFU26 official,2033,FY2033,31765.2896181149,million km,data/revenue_model_source_pack/official_vintages/befu26/official_annual.parquet#light_petrol_vkt:FY2033@93406dc1c609b879,BEFU26 official annual,official_annual_materialised_from_vintage_source,empirical
light_petrol_vkt,BEFU26 official,2034,FY2034,31170.8473342584,million km,data/revenue_model_source_pack/official_vintages/befu26/official_annual.parquet#light_petrol_vkt:FY2034@93406dc1c609b879,BEFU26 official annual,official_annual_materialised_from_vintage_source,empirical
light_petrol_vkt,BEFU26 official,2035,FY2035,30444.874978413,million km,data/revenue_model_source_pack/official_vintages/befu26/official_annual.parquet#light_petrol_vkt:FY2035@93406dc1c609b879,BEFU26 official annual,official_annual_materialised_from_vintage_source,empirical
light_petrol_vkt,BEFU26 official,2036,FY2036,29552.9006799438,million km,data/revenue_model_source_pack/official_vintages/befu26/official_annual.parquet#light_petrol_vkt:FY2036@93406dc1c609b879,BEFU26 official annual,official_annual_materialised_from_vintage_source,empirical
light_petrol_vkt,BEFU26 official,2037,FY2037,28501.1896268963,million km,data/revenue_model_source_pack/official_vintages/befu26/official_annual.parquet#light_petrol_vkt:FY2037@93406dc1c609b879,BEFU26 official annual,official_annual_materialised_from_vintage_source,empirical
light_petrol_vkt,BEFU26 official,2038,FY2038,27264.8332050923,million km,data/revenue_model_source_pack/official_vintages/befu26/official_annual.parquet#light_petrol_vkt:FY2038@93406dc1c609b879,BEFU26 official annual,official_annual_materialised_from_vintage_source,empirical
light_petrol_vkt,BEFU26 official,2039,FY2039,25868.1258613209,million km,data/revenue_model_source_pack/official_vintages/befu26/official_annual.parquet#light_petrol_vkt:FY2039@93406dc1c609b879,BEFU26 official annual,official_annual_materialised_from_vintage_source,empirical
light_petrol_vkt,BEFU26 official,2040,FY2040,24348.5997807516,million km,data/revenue_model_source_pack/official_vintages/befu26/official_annual.parquet#light_petrol_vkt:FY2040@93406dc1c609b879,BEFU26 official annual,official_annual_materialised_from_vintage_source,empirical
light_petrol_vkt,BEFU26 official,2041,FY2041,22736.6308594531,million km,data/revenue_model_source_pack/official_vintages/befu26/official_annual.parquet#light_petrol_vkt:FY2041@93406dc1c609b879,BEFU26 official annual,official_annual_materialised_from_vintage_source,empirical
light_petrol_vkt,BEFU26 official,2042,FY2042,20925.6409713513,million km,data/revenue_model_source_pack/official_vintages/befu26/official_annual.parquet#light_petrol_vkt:FY2042@93406dc1c609b879,BEFU26 official annual,official_annual_materialised_from_vintage_source,empirical
light_petrol_vkt,BEFU26 official,2043,FY2043,19098.8548808325,million km,data/revenue_model_source_pack/official_vintages/befu26/official_annual.parquet#light_petrol_vkt:FY2043@93406dc1c609b879,BEFU26 official annual,official_annual_materialised_from_vintage_source,empirical
light_petrol_vkt,BEFU26 official,2044,FY2044,17363.2440248135,million km,data/revenue_model_source_pack/official_vintages/befu26/official_annual.parquet#light_petrol_vkt:FY2044@93406dc1c609b879,BEFU26 official annual,official_annual_materialised_from_vintage_source,empirical
light_petrol_vkt,BEFU26 official,2045,FY2045,15748.9051161068,million km,data/revenue_model_source_pack/official_vintages/befu26/official_annual.parquet#light_petrol_vkt:FY2045@93406dc1c609b879,BEFU26 official annual,official_annual_materialised_from_vintage_source,empirical
light_petrol_vkt,BEFU26 official,2046,FY2046,14270.8737236796,million km,data/revenue_model_source_pack/official_vintages/befu26/official_annual.parquet#light_petrol_vkt:FY2046@93406dc1c609b879,BEFU26 official annual,official_annual_materialised_from_vintage_source,empirical
light_petrol_vkt,BEFU26 official,2047,FY2047,12921.4255322313,million km,data/revenue_model_source_pack/official_vintages/befu26/official_annual.parquet#light_petrol_vkt:FY2047@93406dc1c609b879,BEFU26 official annual,official_annual_materialised_from_vintage_source,empirical
light_petrol_vkt,BEFU26 official,2048,FY2048,11708.3124431821,million km,data/revenue_model_source_pack/official_vintages/befu26/official_annual.parquet#light_petrol_vkt:FY2048@93406dc1c609b879,BEFU26 official annual,official_annual_materialised_from_vintage_source,empirical
light_petrol_vkt,BEFU26 official,2049,FY2049,10604.3335858314,million km,data/revenue_model_source_pack/official_vintages/befu26/official_annual.parquet#light_petrol_vkt:FY2049@93406dc1c609b879,BEFU26 official annual,official_annual_materialised_from_vintage_source,empirical
light_petrol_vkt,BEFU26 official,2050,FY2050,9599.50044274093,million km,data/revenue_model_source_pack/official_vintages/befu26/official_annual.parquet#light_petrol_vkt:FY2050@93406dc1c609b879,BEFU26 official annual,official_annual_materialised_from_vintage_source,empirical
light_petrol_vkt,MBU26 official,2026,FY2026,31834.7306569029,million km,data/revenue_model_source_pack/mbu26_annual_spine/mbu26_official_annual.parquet#light_petrol_vkt:FY2026@2c5fb4fec1431ed9,MBU26 official annual,official_annual_materialised_from_vintage_source,empirical
light_petrol_vkt,MBU26 official,2027,FY2027,32115.2433469839,million km,data/revenue_model_source_pack/mbu26_annual_spine/mbu26_official_annual.parquet#light_petrol_vkt:FY2027@2c5fb4fec1431ed9,MBU26 official annual,official_annual_materialised_from_vintage_source,empirical
light_petrol_vkt,MBU26 official,2028,FY2028,32346.4528222451,million km,data/revenue_model_source_pack/mbu26_annual_spine/mbu26_official_annual.parquet#light_petrol_vkt:FY2028@2c5fb4fec1431ed9,MBU26 official annual,official_annual_materialised_from_vintage_source,empirical
light_petrol_vkt,MBU26 official,2029,FY2029,32608.4407560831,million km,data/revenue_model_source_pack/mbu26_annual_spine/mbu26_official_annual.parquet#light_petrol_vkt:FY2029@2c5fb4fec1431ed9,MBU26 official annual,official_annual_materialised_from_vintage_source,empirical
light_petrol_vkt,MBU26 official,2030,FY2030,32869.8724784727,million km,data/revenue_model_source_pack/mbu26_annual_spine/mbu26_official_annual.parquet#light_petrol_vkt:FY2030@2c5fb4fec1431ed9,MBU26 official annual,official_annual_materialised_from_vintage_source,empirical
light_petrol_vkt,MBU26 official,2031,FY2031,32608.0056469469,million km,data/revenue_model_source_pack/mbu26_annual_spine/mbu26_official_annual.parquet#light_petrol_vkt:FY2031@2c5fb4fec1431ed9,MBU26 official annual,official_annual_materialised_from_vintage_source,empirical
light_petrol_vkt,MBU26 official,2032,FY2032,32257.3015633196,million km,data/revenue_model_source_pack/mbu26_annual_spine/mbu26_official_annual.parquet#light_petrol_vkt:FY2032@2c5fb4fec1431ed9,MBU26 official annual,official_annual_materialised_from_vintage_source,empirical
light_petrol_vkt,MBU26 official,2033,FY2033,31744.9327751708,million km,data/revenue_model_source_pack/mbu26_annual_spine/mbu26_official_annual.parquet#light_petrol_vkt:FY2033@2c5fb4fec1431ed9,MBU26 official annual,official_annual_materialised_from_vintage_source,empirical
light_petrol_vkt,MBU26 official,2034,FY2034,31150.8714407203,million km,data/revenue_model_source_pack/mbu26_annual_spine/mbu26_official_annual.parquet#light_petrol_vkt:FY2034@2c5fb4fec1431ed9,MBU26 official annual,official_annual_materialised_from_vintage_source,empirical
light_petrol_vkt,MBU26 official,2035,FY2035,30425.364325564,million km,data/revenue_model_source_pack/mbu26_annual_spine/mbu26_official_annual.parquet#light_petrol_vkt:FY2035@2c5fb4fec1431ed9,MBU26 official annual,official_annual_materialised_from_vintage_source,empirical
light_petrol_vkt,MBU26 official,2036,FY2036,29533.9616504272,million km,data/revenue_model_source_pack/mbu26_annual_spine/mbu26_official_annual.parquet#light_petrol_vkt:FY2036@2c5fb4fec1431ed9,MBU26 official annual,official_annual_materialised_from_vintage_source,empirical
light_petrol_vkt,MBU26 official,2037,FY2037,28482.9245882982,million km,data/revenue_model_source_pack/mbu26_annual_spine/mbu26_official_annual.parquet#light_petrol_vkt:FY2037@2c5fb4fec1431ed9,MBU26 official annual,official_annual_materialised_from_vintage_source,empirical
light_petrol_vkt,MBU26 official,2038,FY2038,27247.3604877293,million km,data/revenue_model_source_pack/mbu26_annual_spine/mbu26_official_annual.parquet#light_petrol_vkt:FY2038@2c5fb4fec1431ed9,MBU26 official annual,official_annual_materialised_from_vintage_source,empirical
light_petrol_vkt,MBU26 official,2039,FY2039,25851.5482263694,million km,data/revenue_model_source_pack/mbu26_annual_spine/mbu26_official_annual.parquet#light_petrol_vkt:FY2039@2c5fb4fec1431ed9,MBU26 official annual,official_annual_materialised_from_vintage_source,empirical
light_petrol_vkt,MBU26 official,2040,FY2040,24332.99593682,million km,data/revenue_model_source_pack/mbu26_annual_spine/mbu26_official_annual.parquet#light_petrol_vkt:FY2040@2c5fb4fec1431ed9,MBU26 official annual,official_annual_materialised_from_vintage_source,empirical
light_petrol_vkt,MBU26 official,2041,FY2041,22722.0600487019,million km,data/revenue_model_source_pack/mbu26_annual_spine/mbu26_official_annual.parquet#light_petrol_vkt:FY2041@2c5fb4fec1431ed9,MBU26 official annual,official_annual_materialised_from_vintage_source,empirical
light_petrol_vkt,MBU26 official,2042,FY2042,20913.5164043378,million km,data/revenue_model_source_pack/mbu26_annual_spine/mbu26_official_annual.parquet#light_petrol_vkt:FY2042@2c5fb4fec1431ed9,MBU26 official annual,official_annual_materialised_from_vintage_source,empirical
light_petrol_vkt,MBU26 official,2043,FY2043,19088.9730193169,million km,data/revenue_model_source_pack/mbu26_annual_spine/mbu26_official_annual.parquet#light_petrol_vkt:FY2043@2c5fb4fec1431ed9,MBU26 official annual,official_annual_materialised_from_vintage_source,empirical
light_petrol_vkt,MBU26 official,2044,FY2044,17355.3467715605,million km,data/revenue_model_source_pack/mbu26_annual_spine/mbu26_official_annual.parquet#light_petrol_vkt:FY2044@2c5fb4fec1431ed9,MBU26 official annual,official_annual_materialised_from_vintage_source,empirical
light_petrol_vkt,MBU26 official,2045,FY2045,15742.7368402457,million km,data/revenue_model_source_pack/mbu26_annual_spine/mbu26_official_annual.parquet#light_petrol_vkt:FY2045@2c5fb4fec1431ed9,MBU26 official annual,official_annual_materialised_from_vintage_source,empirical
light_petrol_vkt,MBU26 official,2046,FY2046,14266.1941407652,million km,data/revenue_model_source_pack/mbu26_annual_spine/mbu26_official_annual.parquet#light_petrol_vkt:FY2046@2c5fb4fec1431ed9,MBU26 official annual,official_annual_materialised_from_vintage_source,empirical
light_petrol_vkt,MBU26 official,2047,FY2047,12918.0199537912,million km,data/revenue_model_source_pack/mbu26_annual_spine/mbu26_official_annual.parquet#light_petrol_vkt:FY2047@2c5fb4fec1431ed9,MBU26 official annual,official_annual_materialised_from_vintage_source,empirical
