engine,state_id,current_policy,official_policy,chart_rows,band_rows,verdict
ar1,ar1__cur-published__off-published,published,published,50429,1000,materialised
ar1,ar1__cur-published__off-delayed_6m,published,delayed_6m,50430,1000,materialised
ar1,ar1__cur-published__off-off,published,off,50458,1000,materialised
ar1,ar1__cur-delayed_6m__off-published,delayed_6m,published,50471,1000,materialised
ar1,ar1__cur-delayed_6m__off-delayed_6m,delayed_6m,delayed_6m,50472,1000,materialised
ar1,ar1__cur-delayed_6m__off-off,delayed_6m,off,50500,1000,materialised
ar1,ar1__cur-off__off-published,off,published,51045,1000,materialised
ar1,ar1__cur-off__off-delayed_6m,off,delayed_6m,51046,1000,materialised
ar1,ar1__cur-off__off-off,off,off,51074,1000,materialised
ensemble,ensemble__cur-published__off-published,published,published,50429,1000,materialised
ensemble,ensemble__cur-published__off-delayed_6m,published,delayed_6m,50430,1000,materialised
ensemble,ensemble__cur-published__off-off,published,off,50458,1000,materialised
ensemble,ensemble__cur-delayed_6m__off-published,delayed_6m,published,50471,1000,materialised
ensemble,ensemble__cur-delayed_6m__off-delayed_6m,delayed_6m,delayed_6m,50472,1000,materialised
ensemble,ensemble__cur-delayed_6m__off-off,delayed_6m,off,50500,1000,materialised
ensemble,ensemble__cur-off__off-published,off,published,51045,1000,materialised
ensemble,ensemble__cur-off__off-delayed_6m,off,delayed_6m,51046,1000,materialised
ensemble,ensemble__cur-off__off-off,off,off,51074,1000,materialised
