scope,item,baseline_digest,integrated_digest,verdict,baseline_detail
chart_rows_series,ar1:actual:gross_fed_revenue:annual,fe5c5ed2b1c5a6165113012a36c84aae24286fc8750f5713d8125f2fd1dbde06,fe5c5ed2b1c5a6165113012a36c84aae24286fc8750f5713d8125f2fd1dbde06,unchanged,25 rows
chart_rows_series,ar1:actual:gross_ped_revenue:annual,1014b3be73a5a1980a1b5d2767d53b8da809191a512e2fb1fd312cc0c3dc97c7,1014b3be73a5a1980a1b5d2767d53b8da809191a512e2fb1fd312cc0c3dc97c7,unchanged,25 rows
chart_rows_series,ar1:actual:heavy_ruc_net_km:annual,586df3be0e16a9845d45ac2a1c53b5016321d0b039f63201e8e77a115467f3d6,586df3be0e16a9845d45ac2a1c53b5016321d0b039f63201e8e77a115467f3d6,unchanged,25 rows
chart_rows_series,ar1:actual:heavy_ruc_net_revenue:annual,ce8e4eb548f35bae4a3e9eebd0a6ee3f45c6b52b12004a75ed9ea7bd49149333,ce8e4eb548f35bae4a3e9eebd0a6ee3f45c6b52b12004a75ed9ea7bd49149333,unchanged,25 rows
chart_rows_series,ar1:actual:light_bev_ruc_net_km:annual,10f047b44a4389891d7ee1172421d036a574b63d704474caf76cb1020b135cb8,10f047b44a4389891d7ee1172421d036a574b63d704474caf76cb1020b135cb8,unchanged,25 rows
chart_rows_series,ar1:actual:light_bev_ruc_net_revenue:annual,bef7ef6b514a1bd1ec4732a5b9810fa10309273647f803ebebe2ac2ca50d82eb,bef7ef6b514a1bd1ec4732a5b9810fa10309273647f803ebebe2ac2ca50d82eb,unchanged,25 rows
chart_rows_series,ar1:actual:light_ruc_net_km:annual,c62525f18fadc15ade40a0db2eebe5592278c1411d7111e837cda8aad9cce679,c62525f18fadc15ade40a0db2eebe5592278c1411d7111e837cda8aad9cce679,unchanged,25 rows
chart_rows_series,ar1:actual:light_ruc_net_revenue:annual,47c0b0397a7451b2806d31e85b7c82fe8cc06902d008aa0a3a963b9bc3db99ec,47c0b0397a7451b2806d31e85b7c82fe8cc06902d008aa0a3a963b9bc3db99ec,unchanged,25 rows
chart_rows_series,ar1:actual:net_fed_revenue:annual,f1361465a01395355bc23dcfff16c4533244a585cb20940f173d02bbdd5a20d9,f1361465a01395355bc23dcfff16c4533244a585cb20940f173d02bbdd5a20d9,unchanged,25 rows
chart_rows_series,ar1:actual:net_mvr_revenue:annual,9a7129956ef8fe1bea5861be379058d1dff30f88fddb2579209f2bb11daf6777,9a7129956ef8fe1bea5861be379058d1dff30f88fddb2579209f2bb11daf6777,unchanged,25 rows
chart_rows_series,ar1:actual:ped_vkt_per_capita:annual,11d7d53738df43d7bc2e51f9689424e0dc57b2c00f4f2b2a6c6643551c94b200,11d7d53738df43d7bc2e51f9689424e0dc57b2c00f4f2b2a6c6643551c94b200,unchanged,23 rows
chart_rows_series,ar1:actual:ped_volume:annual,b1931efd8641e7c64d0fdc43f34117752058017eeb047422e76aa2594af46e4a,b1931efd8641e7c64d0fdc43f34117752058017eeb047422e76aa2594af46e4a,unchanged,25 rows
chart_rows_series,ar1:actual:phev_ruc_net_km:annual,a44132955b6637e3ced3f36251eb286dc564b4bd3d78f543c21aa596a3e5bc2f,a44132955b6637e3ced3f36251eb286dc564b4bd3d78f543c21aa596a3e5bc2f,unchanged,25 rows
chart_rows_series,ar1:actual:phev_ruc_net_revenue:annual,5dffab100981dc3f5dd35225178f87f2ffe5df34ce766b7b6ab6993dcfdbb739,5dffab100981dc3f5dd35225178f87f2ffe5df34ce766b7b6ab6993dcfdbb739,unchanged,25 rows
chart_rows_series,ar1:actual:total_fed_ruc_net_revenue:annual,3025e215ec368d86211ff51ae8eb87b446dc960d2cbdd2eb095f63e44845bef9,3025e215ec368d86211ff51ae8eb87b446dc960d2cbdd2eb095f63e44845bef9,unchanged,25 rows
chart_rows_series,ar1:actual:total_nltf_net_revenue:annual,9464c2037e5a6d493f352120c13e76aa71cf7975af11f2531912ccb9ce55ff5e,9464c2037e5a6d493f352120c13e76aa71cf7975af11f2531912ccb9ce55ff5e,unchanged,25 rows
chart_rows_series,ar1:actual:total_ruc_net_revenue:annual,4ddde25a4e2f30297341dad1b93d2e103d9567266e75fd90398f0c5227f09b87,4ddde25a4e2f30297341dad1b93d2e103d9567266e75fd90398f0c5227f09b87,unchanged,25 rows
