year,new_entry_bev_share,turnover,vfm_fleet_bev_share_stock,reconstructed_fleet_share,vfm_bev_share_vkt
2023,0.34331063089318253,0.07555164168825462,0.07186647516505931,0.07186647516505931,0.05200282800415562
2024,0.20495295894613338,0.060002576476895234,0.08093172682242109,0.09237452675700127,0.0668586196021916
2025,0.23761940820962696,0.06402209463396955,0.09206435933321964,0.09912952274407863,0.07740525310611865
2026,0.30646485340307833,0.06843180736760973,0.10789877762541121,0.10799593529720157,0.09119547725898276
2027,0.36490650361620913,0.07397053552712891,0.12830408850752642,0.12157752206948083,0.11046132487965438
2028,0.40314637314757235,0.07701578877893796,0.15117952276636293,0.1395766971437632,0.1342625784247456
2029,0.4216702550269405,0.07762321476314932,0.17419275572516651,0.15987572363940566,0.1599983530001484
2030,0.443292849230991,0.07697401153763268,0.19729039809550242,0.1801970567731183,0.18597959139494719
2031,0.46818350296131406,0.07778116719749774,0.22114011604108033,0.20044859533727322,0.2129376658709679
2032,0.4972986818733316,0.08095253552463955,0.24665054484563134,0.22127332895178536,0.24121229662566063
2033,0.5492982014500025,0.0829062633709798,0.2752829279952347,0.243618281139868,0.2724623052056108
2034,0.5998178150555499,0.08599644336755989,0.3070523777217284,0.26896106112032014,0.307809784811081
2035,0.6617427634016015,0.08775517745879459,0.3423373160653223,0.2974135652228858,0.3464918880959313
2036,0.7314193072483643,0.08946441161711623,0.38152272264693066,0.3293853386624794,0.38852901614752605
2037,0.7826167961240924,0.09251087214964841,0.423221292287389,0.3653530711121098,0.43349487822238364
2038,0.8289076923897912,0.0948512381578277,0.4664406569417816,0.40395450222937934,0.47964512281678173
2039,0.8522412976091194,0.09813612192674918,0.5091432642429446,0.4442618384752132,0.5266978134370099
2040,0.9020436104177371,0.09654360178718013,0.5519413150489183,0.4842993604203874,0.5733201709607275
2041,0.9079177652168205,0.09539838592559408,0.5907619080321638,0.5246298949410158,0.6162458968695663
2042,0.9195905249076032,0.09428029682709697,0.6265184372201652,0.561194939110186,0.6539507346947133
2043,0.9249338365690599,0.08997769359382486,0.658001636994484,0.5949845813206878,0.6865956508894892
2044,0.9294981316577754,0.08361248940789674,0.6852149186202704,0.6246726543109365,0.7136820756660018
2045,0.9328479239011638,0.08016802608633716,0.7094462849926862,0.6501598713068562,0.7382771469410908
2046,0.9353790759874621,0.07717581456382497,0.7311187115770816,0.6728224144815325,0.760557548204315
2047,0.937602312519424,0.07455766978850456,0.7506153320857004,0.693085438702411,0.7805757622358854
2048,0.9397581024257198,0.07219529447040603,0.7682442215197173,0.7113160470381773,0.7989423751941179
2049,0.942337549070816,0.06985420750296088,0.7842447511280947,0.7278084884963057,0.8144952157488715
2050,0.9446843878096142,0.06837017064721002,0.7988928625848628,0.7427942460090928,0.8285017331142952
2051,0.9471346805118185,0.06697288479936753,0.8122845161528722,0.7565975094559839,0.8410445528204746
2052,0.9494922952895823,0.06577356054100923,0.8245639634547212,0.7693583334631037,0.8523097802781244
2053,0.9519557799821162,0.06471853662228436,0.8358152373242682,0.7812063855067894,0.8624795976477628
2054,0.9546520745710099,0.06280576392709634,0.8460207253859948,0.7922570364463738,0.871698200214627
2055,0.9570336258222365,0.06214235880705725,0.855402806507112,0.8024563808737615,0.8802027434744891
