year,new_entry_bev_share,turnover,vfm_fleet_bev_share_stock,reconstructed_fleet_share,vfm_bev_share_vkt
2023,0.3519340481427485,0.07754552450139394,0.07312064192842034,0.07312064192842034,0.052714735529998225
2024,0.21993111642301877,0.06307060229735108,0.08347346467918598,0.09474137375133063,0.0687890288038366
2025,0.25518666872251866,0.0674332026961979,0.09615122691787273,0.10263716622308439,0.08070331977403175
2026,0.3298050098173157,0.07376522761914428,0.11453178769545726,0.11292406774633289,0.09673279459224456
2027,0.39928532172284087,0.0803385963422899,0.13880611915427016,0.1289223398044534,0.11979131055871581
2028,0.4445790414398033,0.08378174535497905,0.1661709580272591,0.15064292227469256,0.14862614150351847
2029,0.4672289202067781,0.08479931248251014,0.19380610661157915,0.17526940336121466,0.18020752750013627
2030,0.4887015144368603,0.08413013548805211,0.22118274879164407,0.20002736966244428,0.21212423771845182
2031,0.5073600768457379,0.08598377322332695,0.24883892145668654,0.22431356457421348,0.24462210316879318
2032,0.5464616633453204,0.08807202968777784,0.278605086124909,0.24865097169702186,0.2786610328963375
2033,0.6011115002821941,0.08965946079554607,0.3115486043817085,0.27487976377320844,0.31569102717639824
2034,0.6487197694134287,0.09244213912841329,0.34712433199293025,0.30412952536299875,0.3563725082112557
2035,0.7106414000953741,0.09376484311817714,0.38595475035770066,0.3359841846458025,0.3997161417476407
2036,0.7817228881349508,0.09419865862504272,0.42819376900586054,0.3711138596755247,0.44540036606651157
2037,0.8265551800148069,0.09506257814005833,0.47124325601082273,0.4097926793757346,0.49260507965158995
2038,0.8613711088226902,0.09563554843883242,0.5138548719326735,0.4494111971585825,0.5388250793877023
2039,0.912951792618661,0.09440673930650068,0.5569145221231238,0.4888092092453924,0.5863369796113206
2040,0.9318392819164744,0.09413692945443992,0.5975880902924161,0.5288511275426983,0.6306960457397225
2041,0.9368334701509121,0.09261246886505882,0.6343368160561599,0.5667871950019574,0.6706265194096608
2042,0.945031074209167,0.0907896318585041,0.6677541282090407,0.601058094137821,0.7054209108652291
2043,0.9490276127572957,0.0863996707862721,0.6971331928128345,0.632287274367771,0.7354273670520758
2044,0.9521205135267705,0.08037027629198502,0.7225785851658003,0.6596535353293583,0.7603466926635385
2045,0.9543679422279638,0.07717881366274133,0.7452841752743647,0.6831591871733663,0.7827505013932687
2046,0.956056277170831,0.07452478595085614,0.7656638635757896,0.7040907571434292,0.8029517943571804
2047,0.9576901048436693,0.0722435014821786,0.7840755583791549,0.7228684335904675,0.8210523578111252
2048,0.9592476743978606,0.07017417894105651,0.8007817433809064,0.7398327733456959,0.83761716088493
2049,0.9609822344157527,0.06810153115600712,0.8159741214717459,0.7552300338744646,0.8517327434021388
2050,0.9625721259824291,0.06682691922554324,0.8298913135875682,0.7692420737700442,0.8642514287431988
2051,0.9635439542211799,0.06561503073142659,0.8425618723638609,0.7821617255531113,0.8754711929776029
2052,0.9644690117763314,0.06456942687846136,0.8541096215747578,0.7940631260613012,0.8854598210098178
2053,0.9653904400824527,0.06365775138192911,0.8646007224194028,0.8050661364386373,0.8944141159190541
2054,0.966433585049885,0.06188031117346929,0.8740154025305054,0.8152720211004763,0.9021834327024735
2055,0.9673539930121524,0.0613066367843587,0.8825581526784653,0.8246259457151339,0.9091393158748534
