FY,period,conventional_light_km,light_bev_km,phev_km,total_light_universe_km,conventional_share,light_bev_share,phev_share,conventional_light_revenue,light_bev_revenue,phev_revenue,conventional_light_rate_nzd_per_1000km,light_bev_rate_nzd_per_1000km,phev_rate_nzd_per_1000km,conventional_light_source_cell,light_bev_source_cell,phev_source_cell,conventional_light_revenue_source_cell,light_bev_revenue_source_cell,phev_revenue_source_cell,source_formula,source_file,source_status,model_input_target_million_km,model_input_quarters,model_input_full_year,target_minus_conventional_light_km,target_minus_total_light_universe_km,target_matches_conventional_light,target_matches_total_light_universe,target_semantics_status,allocation_status,used_by_current_finalist,notes
2001,FY2001,5664.92423,0.0,0.0,5664.92423,1.0,0.0,0.0,107.952015502222,0.0,0.0,19.056215250070874,,,C10,C12,C14,C33,C35,C37,,data/revenue_model_source_pack/mbu26_annual_spine/mbu26_annual_spine.csv,ACTUAL,,,False,,,False,False,model_input_full_year_missing,audit_only_pending_total_universe_proof,False,"Current-finalist Light RUC allocation is blocked unless target history proves a total light-RUC universe. Rows with post-2023 BEV/PHEV evidence match conventional Light RUC, not conventional+BEV+PHEV."
2002,FY2002,6386.274088,0.0,0.0,6386.274088,1.0,0.0,0.0,127.276975146667,0.0,0.0,19.92977022170474,,,D10,D12,D14,D33,D35,D37,,data/revenue_model_source_pack/mbu26_annual_spine/mbu26_annual_spine.csv,ACTUAL,,2002Q1; 2002Q2,False,,,False,False,model_input_full_year_missing,audit_only_pending_total_universe_proof,False,"Current-finalist Light RUC allocation is blocked unless target history proves a total light-RUC universe. Rows with post-2023 BEV/PHEV evidence match conventional Light RUC, not conventional+BEV+PHEV."
2003,FY2003,6049.305779,0.0,0.0,6049.305779,1.0,0.0,0.0,145.750251191111,0.0,0.0,24.09371529822133,,,E10,E12,E14,E33,E35,E37,,data/revenue_model_source_pack/mbu26_annual_spine/mbu26_annual_spine.csv,ACTUAL,,2002Q3; 2002Q4; 2003Q1; 2003Q2,False,,,False,False,model_input_full_year_missing,audit_only_pending_total_universe_proof,False,"Current-finalist Light RUC allocation is blocked unless target history proves a total light-RUC universe. Rows with post-2023 BEV/PHEV evidence match conventional Light RUC, not conventional+BEV+PHEV."
2004,FY2004,6822.401291,0.0,0.0,6822.401291,1.0,0.0,0.0,164.838043431111,0.0,0.0,24.16129400780963,,,F10,F12,F14,F33,F35,F37,,data/revenue_model_source_pack/mbu26_annual_spine/mbu26_annual_spine.csv,ACTUAL,,2003Q3; 2003Q4; 2004Q1; 2004Q2,False,,,False,False,model_input_full_year_missing,audit_only_pending_total_universe_proof,False,"Current-finalist Light RUC allocation is blocked unless target history proves a total light-RUC universe. Rows with post-2023 BEV/PHEV evidence match conventional Light RUC, not conventional+BEV+PHEV."
2005,FY2005,7530.569661,0.0,0.0,7530.569661,1.0,0.0,0.0,190.062553191111,0.0,0.0,25.238801544513194,,,G10,G12,G14,G33,G35,G37,,data/revenue_model_source_pack/mbu26_annual_spine/mbu26_annual_spine.csv,ACTUAL,,2004Q3; 2004Q4; 2005Q1; 2005Q2,False,,,False,False,model_input_full_year_missing,audit_only_pending_total_universe_proof,False,"Current-finalist Light RUC allocation is blocked unless target history proves a total light-RUC universe. Rows with post-2023 BEV/PHEV evidence match conventional Light RUC, not conventional+BEV+PHEV."
2006,FY2006,7030.767248,0.0,0.0,7030.767248,1.0,0.0,0.0,207.057308142222,0.0,0.0,29.450172483113043,,,H10,H12,H14,H33,H35,H37,,data/revenue_model_source_pack/mbu26_annual_spine/mbu26_annual_spine.csv,ACTUAL,,2005Q3; 2005Q4; 2006Q1; 2006Q2,False,,,False,False,model_input_full_year_missing,audit_only_pending_total_universe_proof,False,"Current-finalist Light RUC allocation is blocked unless target history proves a total light-RUC universe. Rows with post-2023 BEV/PHEV evidence match conventional Light RUC, not conventional+BEV+PHEV."
2007,FY2007,7464.686295,0.0,0.0,7464.686295,1.0,0.0,0.0,224.341670933333,0.0,0.0,30.05373060132502,,,I10,I12,I14,I33,I35,I37,,data/revenue_model_source_pack/mbu26_annual_spine/mbu26_annual_spine.csv,ACTUAL,,2006Q3; 2006Q4; 2007Q1; 2007Q2,False,,,False,False,model_input_full_year_missing,audit_only_pending_total_universe_proof,False,"Current-finalist Light RUC allocation is blocked unless target history proves a total light-RUC universe. Rows with post-2023 BEV/PHEV evidence match conventional Light RUC, not conventional+BEV+PHEV."
2008,FY2008,7830.197444,0.0,0.0,7830.197444,1.0,0.0,0.0,238.367297955556,0.0,0.0,30.442054579122818,,,J10,J12,J14,J33,J35,J37,,data/revenue_model_source_pack/mbu26_annual_spine/mbu26_annual_spine.csv,ACTUAL,,2007Q3; 2007Q4; 2008Q1; 2008Q2,False,,,False,False,model_input_full_year_missing,audit_only_pending_total_universe_proof,False,"Current-finalist Light RUC allocation is blocked unless target history proves a total light-RUC universe. Rows with post-2023 BEV/PHEV evidence match conventional Light RUC, not conventional+BEV+PHEV."
2009,FY2009,7549.161403,0.0,0.0,7549.161403,1.0,0.0,0.0,262.064566702222,0.0,0.0,34.7143944489091,,,K10,K12,K14,K33,K35,K37,,data/revenue_model_source_pack/mbu26_annual_spine/mbu26_annual_spine.csv,ACTUAL,,2008Q3; 2008Q4; 2009Q1; 2009Q2,False,,,False,False,model_input_full_year_missing,audit_only_pending_total_universe_proof,False,"Current-finalist Light RUC allocation is blocked unless target history proves a total light-RUC universe. Rows with post-2023 BEV/PHEV evidence match conventional Light RUC, not conventional+BEV+PHEV."
2010,FY2010,7829.25488,0.0,0.0,7829.25488,1.0,0.0,0.0,287.748778595556,0.0,0.0,36.75302222317688,,,L10,L12,L14,L33,L35,L37,,data/revenue_model_source_pack/mbu26_annual_spine/mbu26_annual_spine.csv,ACTUAL,7829.25488,2009Q3; 2009Q4; 2010Q1; 2010Q2,True,0.0,0.0,True,True,pre_ev_phev_or_zero_split_overlap,audit_only_pending_total_universe_proof,False,"Current-finalist Light RUC allocation is blocked unless target history proves a total light-RUC universe. Rows with post-2023 BEV/PHEV evidence match conventional Light RUC, not conventional+BEV+PHEV."
