source_path,scenario_name,scenario_role,series_id,bridge_variant,official_comparator_series_id,start_fy,end_fy,n_rows,correlation_vs_official,slope_vs_official,intercept_vs_official,mean_error,mean_abs_error,rmse,mean_abs_pct_error,shape_anchor_status,notes
Current finalist Base case,current_basecase,basecase,gross_ped_revenue_optimized,optimized,gross_ped_revenue,2026,2030,5,0.9965727747789627,0.6820579526721715,665.7583327849391,-93.37184273401235,97.29142392082649,124.07774153217336,0.037832085926976566,shape_fit_reported,FY2026-FY2050 shape fit. Lower error and higher correlation indicate closer alignment to BEFU26 shape.
Current finalist Base case,current_basecase,basecase,gross_ped_revenue_raw,raw,gross_ped_revenue,2026,2030,5,0.9998573231987323,0.94936103574292,215.21030134159219,94.30283991061515,94.30283991061515,95.2557928896958,0.040530119137885276,shape_fit_reported,FY2026-FY2050 shape fit. Lower error and higher correlation indicate closer alignment to BEFU26 shape.
Current finalist Base case,current_basecase,basecase,optimized_light_petrol_vkt,optimized,light_petrol_vkt,2026,2030,5,-0.9643110036597924,-0.7506801219453719,55035.30212275807,-1169.9715829854117,1230.413317086958,1538.3100398521972,0.037832085926976546,shape_fit_reported,FY2026-FY2050 shape fit. Lower error and higher correlation indicate closer alignment to BEFU26 shape.
Current finalist Base case,current_basecase,basecase,raw_light_petrol_vkt,raw,light_petrol_vkt,2026,2030,5,0.9990686785221703,0.4839651084479445,17862.861581156423,1295.6532386252088,1295.6532386252088,1328.286828701262,0.04053011913788533,shape_fit_reported,FY2026-FY2050 shape fit. Lower error and higher correlation indicate closer alignment to BEFU26 shape.
Current finalist Base case,current_basecase,basecase,ped_volume_optimized,optimized,ped_volume,2026,2030,5,0.3344665941599824,1.4332720469247906,-1349.569821033193,-103.22454944806432,108.8220320066359,135.48172316619372,0.03783208592697655,shape_fit_reported,FY2026-FY2050 shape fit. Lower error and higher correlation indicate closer alignment to BEFU26 shape.
Current finalist Base case,current_basecase,basecase,ped_volume_raw,raw,ped_volume,2026,2030,5,0.6285016467661685,1.0583580181042123,-51.28233824742165,116.58964989376099,116.58964989376099,119.98112103564996,0.04053011913788533,shape_fit_reported,FY2026-FY2050 shape fit. Lower error and higher correlation indicate closer alignment to BEFU26 shape.
Current finalist High population/comparison,current_comparison_1,comparison,gross_ped_revenue_optimized,optimized,gross_ped_revenue,2026,2030,5,0.9984398060377345,0.7660831418120619,495.5729992117024,-62.935531212259505,67.67723554829017,87.07173951546346,0.02630681349017412,shape_fit_reported,FY2026-FY2050 shape fit. Lower error and higher correlation indicate closer alignment to BEFU26 shape.
Current finalist High population/comparison,current_comparison_1,comparison,gross_ped_revenue_raw,raw,gross_ped_revenue,2026,2030,5,0.9999072013344642,1.0471569033733157,16.477146324834848,129.07071057839875,129.07071057839875,129.6713135162858,0.05413730488329856,shape_fit_reported,FY2026-FY2050 shape fit. Lower error and higher correlation indicate closer alignment to BEFU26 shape.
Current finalist High population/comparison,current_comparison_1,comparison,optimized_light_petrol_vkt,optimized,light_petrol_vkt,2026,2030,5,-0.9107974049963649,-0.30176757066118776,41010.373607883004,-782.6425423031673,855.7617912756483,1078.2193927237454,0.02630681349017412,shape_fit_reported,FY2026-FY2050 shape fit. Lower error and higher correlation indicate closer alignment to BEFU26 shape.
Current finalist High population/comparison,current_comparison_1,comparison,raw_light_petrol_vkt,raw,light_petrol_vkt,2026,2030,5,0.9960914447215501,1.0088021284831954,1455.0212979320277,1737.6120661652167,1737.6120661652167,1738.3582872343338,0.05413730488329854,shape_fit_reported,FY2026-FY2050 shape fit. Lower error and higher correlation indicate closer alignment to BEFU26 shape.
Current finalist High population/comparison,current_comparison_1,comparison,ped_volume_optimized,optimized,ped_volume,2026,2030,5,0.3913197791173782,1.279369281098766,-872.5668099186046,-68.93642343298843,75.707965098747,94.9407102628415,0.026306813490174125,shape_fit_reported,FY2026-FY2050 shape fit. Lower error and higher correlation indicate closer alignment to BEFU26 shape.
Current finalist High population/comparison,current_comparison_1,comparison,ped_volume_raw,raw,ped_volume,2026,2030,5,0.9810988344856741,0.8971638319892975,451.5223731618462,155.7050624034605,155.7050624034605,155.767832637319,0.054137304883298584,shape_fit_reported,FY2026-FY2050 shape fit. Lower error and higher correlation indicate closer alignment to BEFU26 shape.
