FY,period,source_path,scenario_name,scenario_role,fed_path,lambda_mode,ped_vkt_per_capita,population_million,adjusted_light_petrol_vkt_million_km,base_litres_per_100km,ped_volume_million_litres,ped_rate_nzd_per_litre,gross_ped_revenue_million_nzd,total_nltf_net_revenue_million_nzd,vktpc_unit,population_unit,light_petrol_vkt_unit,litres_intensity_unit,ped_volume_unit,ped_rate_unit,gross_ped_revenue_unit,source_file,vktpc_source_cell,population_source_cell,migration_source_cells,formula,availability_status,notes
2026,FY2026,Current finalist Base case,current_basecase,basecase,Current planned path,optimized,6169.513389534369,5.135051798047654,31680.770824007537,9.253495188709412,2931.578603945593,0.7002400000000003,2052.808601626863,4510.085442863517,km/person,million people,million km,litres/100km,million litres,$/litre,$m nominal ex GST,forecast_scenario_comparison.parquet; scenario_inputs/scenario_input_wide.parquet; mbu26_official_annual.csv,data/current_revenue_outlook/revenue_chart_rows.csv:historical_actual:2025Q3; data/current_revenue_outlook/revenue_chart_rows.csv:historical_actual:2025Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2026Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2026Q2,scenario_inputs/scenario_input_wide.parquet:PED:population (2026Q1; 2026Q2); mbu26_official_annual.csv:population_proxy (2025Q3; 2025Q4),data/current_revenue_outlook/revenue_chart_rows.csv:historical_actual:2025Q3; data/current_revenue_outlook/revenue_chart_rows.csv:historical_actual:2025Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2026Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2026Q2; data/current_revenue_outlook/revenue_chart_rows.csv:historical_actual:2025Q3; data/current_revenue_outlook/revenue_chart_rows.csv:historical_actual:2025Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2026Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2026Q2; AB16; AB10; AB12; AB14; scenario_inputs/scenario_input_wide.parquet:PED:population (2026Q1; 2026Q2); mbu26_official_annual.csv:population_proxy (2025Q3; 2025Q4),gross_ped_revenue = adjusted_light_petrol_vkt_million_km * base_litres_per_100km / 100 * ped_rate_nzd_per_litre,available,"Current-finalist PED revenue uses adjusted PED/light-petrol VKT after optimized EV/PHEV migration, then applies MBU26 litres intensity and PED rate."
2027,FY2027,Current finalist Base case,current_basecase,basecase,Current planned path,optimized,6141.008454644322,5.106655961293621,31360.01743326395,9.019048682247908,2828.3752390675068,0.7598432334330983,2149.121787015167,4841.281624852132,km/person,million people,million km,litres/100km,million litres,$/litre,$m nominal ex GST,forecast_scenario_comparison.parquet; scenario_inputs/scenario_input_wide.parquet; mbu26_official_annual.csv,data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2026Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2026Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2027Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2027Q2,scenario_inputs/scenario_input_wide.parquet:PED:population (2026Q3; 2026Q4; 2027Q1; 2027Q2),data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2026Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2026Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2027Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2027Q2; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2026Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2026Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2027Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2027Q2; AC16; AC10; AC12; AC14; scenario_inputs/scenario_input_wide.parquet:PED:population (2026Q3; 2026Q4; 2027Q1; 2027Q2),gross_ped_revenue = adjusted_light_petrol_vkt_million_km * base_litres_per_100km / 100 * ped_rate_nzd_per_litre,available,"Current-finalist PED revenue uses adjusted PED/light-petrol VKT after optimized EV/PHEV migration, then applies MBU26 litres intensity and PED rate."
2028,FY2028,Current finalist Base case,current_basecase,basecase,Current planned path,optimized,6138.046444659734,5.081258716349218,31189.001998283606,8.931856817675813,2785.75700134874,0.8500894140750587,2368.1425370320426,5408.51567903507,km/person,million people,million km,litres/100km,million litres,$/litre,$m nominal ex GST,forecast_scenario_comparison.parquet; scenario_inputs/scenario_input_wide.parquet; mbu26_official_annual.csv,data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2027Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2027Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2028Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2028Q2,scenario_inputs/scenario_input_wide.parquet:PED:population (2027Q3; 2027Q4; 2028Q1; 2028Q2),data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2027Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2027Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2028Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2028Q2; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2027Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2027Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2028Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2028Q2; AD16; AD10; AD12; AD14; scenario_inputs/scenario_input_wide.parquet:PED:population (2027Q3; 2027Q4; 2028Q1; 2028Q2),gross_ped_revenue = adjusted_light_petrol_vkt_million_km * base_litres_per_100km / 100 * ped_rate_nzd_per_litre,available,"Current-finalist PED revenue uses adjusted PED/light-petrol VKT after optimized EV/PHEV migration, then applies MBU26 litres intensity and PED rate."
2029,FY2029,Current finalist Base case,current_basecase,basecase,Current planned path,optimized,6133.5092934732065,5.048714159673206,30966.33521844538,8.844689067937997,2738.8760658068722,0.9001107027491552,2465.291660336265,5733.945974890607,km/person,million people,million km,litres/100km,million litres,$/litre,$m nominal ex GST,forecast_scenario_comparison.parquet; scenario_inputs/scenario_input_wide.parquet; mbu26_official_annual.csv,data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2028Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2028Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2029Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2029Q2,scenario_inputs/scenario_input_wide.parquet:PED:population (2028Q3; 2028Q4; 2029Q1; 2029Q2),data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2028Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2028Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2029Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2029Q2; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2028Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2028Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2029Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2029Q2; AE16; AE10; AE12; AE14; scenario_inputs/scenario_input_wide.parquet:PED:population (2028Q3; 2028Q4; 2029Q1; 2029Q2),gross_ped_revenue = adjusted_light_petrol_vkt_million_km * base_litres_per_100km / 100 * ped_rate_nzd_per_litre,available,"Current-finalist PED revenue uses adjusted PED/light-petrol VKT after optimized EV/PHEV migration, then applies MBU26 litres intensity and PED rate."
2030,FY2030,Current finalist Base case,current_basecase,basecase,Current planned path,optimized,6114.208933600386,5.015934993692445,30668.474548793147,8.757543274926979,2685.804930370526,0.9400992657432979,2524.923242971061,5982.662102124143,km/person,million people,million km,litres/100km,million litres,$/litre,$m nominal ex GST,forecast_scenario_comparison.parquet; scenario_inputs/scenario_input_wide.parquet; mbu26_official_annual.csv,data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2029Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2029Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2030Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2030Q2,scenario_inputs/scenario_input_wide.parquet:PED:population (2029Q3; 2029Q4; 2030Q1; 2030Q2),data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2029Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2029Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2030Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2030Q2; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2029Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2029Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2030Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2030Q2; AF16; AF10; AF12; AF14; scenario_inputs/scenario_input_wide.parquet:PED:population (2029Q3; 2029Q4; 2030Q1; 2030Q2),gross_ped_revenue = adjusted_light_petrol_vkt_million_km * base_litres_per_100km / 100 * ped_rate_nzd_per_litre,available,"Current-finalist PED revenue uses adjusted PED/light-petrol VKT after optimized EV/PHEV migration, then applies MBU26 litres intensity and PED rate."
2031,FY2031,Current finalist Base case,current_basecase,basecase,Current planned path,optimized,6113.39742210443,4.969909886921251,30383.034290795695,8.6704364524934,2634.3416805227193,0.9801272010486018,2581.989937936403,6255.585777060265,km/person,million people,million km,litres/100km,million litres,$/litre,$m nominal ex GST,forecast_scenario_comparison.parquet; scenario_inputs/scenario_input_wide.parquet; mbu26_official_annual.csv,data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2030Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2030Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2031Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2031Q2,scenario_inputs/scenario_input_wide.parquet:PED:population (2030Q3; 2030Q4; 2031Q1; 2031Q2),data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2030Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2030Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2031Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2031Q2; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2030Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2030Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2031Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2031Q2; AG16; AG10; AG12; AG14; scenario_inputs/scenario_input_wide.parquet:PED:population (2030Q3; 2030Q4; 2031Q1; 2031Q2),gross_ped_revenue = adjusted_light_petrol_vkt_million_km * base_litres_per_100km / 100 * ped_rate_nzd_per_litre,available,"Current-finalist PED revenue uses adjusted PED/light-petrol VKT after optimized EV/PHEV migration, then applies MBU26 litres intensity and PED rate."
2032,FY2032,Current finalist Base case,current_basecase,basecase,Current planned path,optimized,6105.330649957428,4.91076985793974,29981.87372856658,8.583296413903813,2573.433092565225,1.0201409097685845,2625.2643762780704,6522.974670557203,km/person,million people,million km,litres/100km,million litres,$/litre,$m nominal ex GST,forecast_scenario_comparison.parquet; scenario_inputs/scenario_input_wide.parquet; mbu26_official_annual.csv,data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2031Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2031Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2032Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2032Q2,scenario_inputs/scenario_input_wide.parquet:PED:population (2031Q3; 2031Q4; 2032Q1; 2032Q2),data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2031Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2031Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2032Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2032Q2; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2031Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2031Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2032Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2032Q2; AH16; AH10; AH12; AH14; scenario_inputs/scenario_input_wide.parquet:PED:population (2031Q3; 2031Q4; 2032Q1; 2032Q2),gross_ped_revenue = adjusted_light_petrol_vkt_million_km * base_litres_per_100km / 100 * ped_rate_nzd_per_litre,available,"Current-finalist PED revenue uses adjusted PED/light-petrol VKT after optimized EV/PHEV migration, then applies MBU26 litres intensity and PED rate."
2033,FY2033,Current finalist Base case,current_basecase,basecase,Current planned path,optimized,6088.836552316207,4.841055934006934,29476.398322788697,8.496172791765561,2504.3657342932133,1.0601469577062015,2654.9957141946074,6790.982500493324,km/person,million people,million km,litres/100km,million litres,$/litre,$m nominal ex GST,forecast_scenario_comparison.parquet; scenario_inputs/scenario_input_wide.parquet; mbu26_official_annual.csv,data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2032Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2032Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2033Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2033Q2,scenario_inputs/scenario_input_wide.parquet:PED:population (2032Q3; 2032Q4; 2033Q1; 2033Q2),data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2032Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2032Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2033Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2033Q2; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2032Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2032Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2033Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2033Q2; AI16; AI10; AI12; AI14; scenario_inputs/scenario_input_wide.parquet:PED:population (2032Q3; 2032Q4; 2033Q1; 2033Q2),gross_ped_revenue = adjusted_light_petrol_vkt_million_km * base_litres_per_100km / 100 * ped_rate_nzd_per_litre,available,"Current-finalist PED revenue uses adjusted PED/light-petrol VKT after optimized EV/PHEV migration, then applies MBU26 litres intensity and PED rate."
2034,FY2034,Current finalist Base case,current_basecase,basecase,Current planned path,optimized,6072.948011927281,4.756975768060771,28888.86653343091,8.409038557513078,2429.2759256246973,1.1001419629388474,2672.5483853368396,7067.165423243978,km/person,million people,million km,litres/100km,million litres,$/litre,$m nominal ex GST,forecast_scenario_comparison.parquet; scenario_inputs/scenario_input_wide.parquet; mbu26_official_annual.csv,data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2033Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2033Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2034Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2034Q2,scenario_inputs/scenario_input_wide.parquet:PED:population (2033Q3; 2033Q4; 2034Q1; 2034Q2),data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2033Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2033Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2034Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2034Q2; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2033Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2033Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2034Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2034Q2; AJ16; AJ10; AJ12; AJ14; scenario_inputs/scenario_input_wide.parquet:PED:population (2033Q3; 2033Q4; 2034Q1; 2034Q2),gross_ped_revenue = adjusted_light_petrol_vkt_million_km * base_litres_per_100km / 100 * ped_rate_nzd_per_litre,available,"Current-finalist PED revenue uses adjusted PED/light-petrol VKT after optimized EV/PHEV migration, then applies MBU26 litres intensity and PED rate."
2035,FY2035,Current finalist Base case,current_basecase,basecase,Current planned path,optimized,6055.779111710105,4.656024245599257,28195.85437011578,8.32192231328104,2346.437096246892,1.1400953950017312,2675.1621280923155,7350.589541382515,km/person,million people,million km,litres/100km,million litres,$/litre,$m nominal ex GST,forecast_scenario_comparison.parquet; scenario_inputs/scenario_input_wide.parquet; mbu26_official_annual.csv,data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2034Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2034Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2035Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2035Q2,scenario_inputs/scenario_input_wide.parquet:PED:population (2034Q3; 2034Q4; 2035Q1; 2035Q2),data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2034Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2034Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2035Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2035Q2; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2034Q3; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2034Q4; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2035Q1; data/current_revenue_outlook/revenue_chart_rows.csv:current_basecase:2035Q2; AK16; AK10; AK12; AK14; scenario_inputs/scenario_input_wide.parquet:PED:population (2034Q3; 2034Q4; 2035Q1; 2035Q2),gross_ped_revenue = adjusted_light_petrol_vkt_million_km * base_litres_per_100km / 100 * ped_rate_nzd_per_litre,available,"Current-finalist PED revenue uses adjusted PED/light-petrol VKT after optimized EV/PHEV migration, then applies MBU26 litres intensity and PED rate."
