metric_type,time_grain,row_type,scenario_name,scenario_role,stream,stream_label,period,target_period,june_year,horizon,horizon_scope,value,value_unit,forecast_available,bridge_status,bridge_method,rate_value,rate_unit,gap_code,gap_reason,source,quarter_count,aggregation_method,canonical_stream_key,canonical_period_key,canonical_scenario_key,canonical_join_key
activity,june_year,historical_actual,historical_actual,,HEAVY_RUC,Heavy RUC volume,FY2010,FY2010,2010,,june_year_aggregate,3220971628.0,net km,True,historical_activity_available,source_model_input_history,,,,,data/model_input_history/heavy_ruc_inputs.parquet,4.0,sum_quarters,HEAVY_RUC,FY2010,historical_actual,HEAVY_RUC|FY2010|historical_actual
activity,june_year,historical_actual,historical_actual,,HEAVY_RUC,Heavy RUC volume,FY2011,FY2011,2011,,june_year_aggregate,3388443183.0,net km,True,historical_activity_available,source_model_input_history,,,,,data/model_input_history/heavy_ruc_inputs.parquet,4.0,sum_quarters,HEAVY_RUC,FY2011,historical_actual,HEAVY_RUC|FY2011|historical_actual
activity,june_year,historical_actual,historical_actual,,HEAVY_RUC,Heavy RUC volume,FY2012,FY2012,2012,,june_year_aggregate,3430029183.0,net km,True,historical_activity_available,source_model_input_history,,,,,data/model_input_history/heavy_ruc_inputs.parquet,4.0,sum_quarters,HEAVY_RUC,FY2012,historical_actual,HEAVY_RUC|FY2012|historical_actual
activity,june_year,historical_actual,historical_actual,,HEAVY_RUC,Heavy RUC volume,FY2013,FY2013,2013,,june_year_aggregate,3552310017.0,net km,True,historical_activity_available,source_model_input_history,,,,,data/model_input_history/heavy_ruc_inputs.parquet,4.0,sum_quarters,HEAVY_RUC,FY2013,historical_actual,HEAVY_RUC|FY2013|historical_actual
activity,june_year,historical_actual,historical_actual,,HEAVY_RUC,Heavy RUC volume,FY2014,FY2014,2014,,june_year_aggregate,3646506756.0,net km,True,historical_activity_available,source_model_input_history,,,,,data/model_input_history/heavy_ruc_inputs.parquet,4.0,sum_quarters,HEAVY_RUC,FY2014,historical_actual,HEAVY_RUC|FY2014|historical_actual
activity,june_year,historical_actual,historical_actual,,HEAVY_RUC,Heavy RUC volume,FY2015,FY2015,2015,,june_year_aggregate,3698793648.0,net km,True,historical_activity_available,source_model_input_history,,,,,data/model_input_history/heavy_ruc_inputs.parquet,4.0,sum_quarters,HEAVY_RUC,FY2015,historical_actual,HEAVY_RUC|FY2015|historical_actual
activity,june_year,historical_actual,historical_actual,,HEAVY_RUC,Heavy RUC volume,FY2016,FY2016,2016,,june_year_aggregate,3716710068.0,net km,True,historical_activity_available,source_model_input_history,,,,,data/model_input_history/heavy_ruc_inputs.parquet,4.0,sum_quarters,HEAVY_RUC,FY2016,historical_actual,HEAVY_RUC|FY2016|historical_actual
activity,june_year,historical_actual,historical_actual,,HEAVY_RUC,Heavy RUC volume,FY2017,FY2017,2017,,june_year_aggregate,3842683587.0,net km,True,historical_activity_available,source_model_input_history,,,,,data/model_input_history/heavy_ruc_inputs.parquet,4.0,sum_quarters,HEAVY_RUC,FY2017,historical_actual,HEAVY_RUC|FY2017|historical_actual
activity,june_year,historical_actual,historical_actual,,HEAVY_RUC,Heavy RUC volume,FY2018,FY2018,2018,,june_year_aggregate,4022092402.0,net km,True,historical_activity_available,source_model_input_history,,,,,data/model_input_history/heavy_ruc_inputs.parquet,4.0,sum_quarters,HEAVY_RUC,FY2018,historical_actual,HEAVY_RUC|FY2018|historical_actual
activity,june_year,historical_actual,historical_actual,,HEAVY_RUC,Heavy RUC volume,FY2019,FY2019,2019,,june_year_aggregate,4071164816.0,net km,True,historical_activity_available,source_model_input_history,,,,,data/model_input_history/heavy_ruc_inputs.parquet,4.0,sum_quarters,HEAVY_RUC,FY2019,historical_actual,HEAVY_RUC|FY2019|historical_actual
activity,june_year,historical_actual,historical_actual,,HEAVY_RUC,Heavy RUC volume,FY2020,FY2020,2020,,june_year_aggregate,3867517432.0,net km,True,historical_activity_available,source_model_input_history,,,,,data/model_input_history/heavy_ruc_inputs.parquet,4.0,sum_quarters,HEAVY_RUC,FY2020,historical_actual,HEAVY_RUC|FY2020|historical_actual
activity,june_year,historical_actual,historical_actual,,HEAVY_RUC,Heavy RUC volume,FY2021,FY2021,2021,,june_year_aggregate,4141235503.0,net km,True,historical_activity_available,source_model_input_history,,,,,data/model_input_history/heavy_ruc_inputs.parquet,4.0,sum_quarters,HEAVY_RUC,FY2021,historical_actual,HEAVY_RUC|FY2021|historical_actual
activity,june_year,historical_actual,historical_actual,,HEAVY_RUC,Heavy RUC volume,FY2022,FY2022,2022,,june_year_aggregate,4170928916.0,net km,True,historical_activity_available,source_model_input_history,,,,,data/model_input_history/heavy_ruc_inputs.parquet,4.0,sum_quarters,HEAVY_RUC,FY2022,historical_actual,HEAVY_RUC|FY2022|historical_actual
activity,june_year,historical_actual,historical_actual,,HEAVY_RUC,Heavy RUC volume,FY2023,FY2023,2023,,june_year_aggregate,4152746925.0,net km,True,historical_activity_available,source_model_input_history,,,,,data/model_input_history/heavy_ruc_inputs.parquet,4.0,sum_quarters,HEAVY_RUC,FY2023,historical_actual,HEAVY_RUC|FY2023|historical_actual
activity,june_year,historical_actual,historical_actual,,HEAVY_RUC,Heavy RUC volume,FY2024,FY2024,2024,,june_year_aggregate,3903861766.0,net km,True,historical_activity_available,source_model_input_history,,,,,data/model_input_history/heavy_ruc_inputs.parquet,4.0,sum_quarters,HEAVY_RUC,FY2024,historical_actual,HEAVY_RUC|FY2024|historical_actual
activity,june_year,historical_actual,historical_actual,,HEAVY_RUC,Heavy RUC volume,FY2025,FY2025,2025,,june_year_aggregate,3981873439.0,net km,True,historical_activity_available,source_model_input_history,,,,,data/model_input_history/heavy_ruc_inputs.parquet,4.0,sum_quarters,HEAVY_RUC,FY2025,historical_actual,HEAVY_RUC|FY2025|historical_actual
activity,june_year,future_forecast,current_basecase,basecase,HEAVY_RUC,Heavy RUC volume,FY2026,FY2026,2026,,june_year_aggregate,2001730210.9875348,net km,True,numeric_forecast_available,fixed_finalist_activity_forecast,,,,,forecast_scenario_comparison.parquet,2.0,sum_quarters,HEAVY_RUC,FY2026,current_basecase,HEAVY_RUC|FY2026|current_basecase
activity,june_year,future_forecast,current_comparison_1,comparison,HEAVY_RUC,Heavy RUC volume,FY2026,FY2026,2026,,june_year_aggregate,2003540986.1043391,net km,True,numeric_forecast_available,fixed_finalist_activity_forecast,,,,,forecast_scenario_comparison.parquet,2.0,sum_quarters,HEAVY_RUC,FY2026,current_comparison_1,HEAVY_RUC|FY2026|current_comparison_1
activity,june_year,historical_actual,historical_actual,,HEAVY_RUC,Heavy RUC volume,FY2026,FY2026,2026,,june_year_aggregate,2043382626.0,net km,True,historical_activity_available,source_model_input_history,,,,,data/model_input_history/heavy_ruc_inputs.parquet,2.0,sum_quarters,HEAVY_RUC,FY2026,historical_actual,HEAVY_RUC|FY2026|historical_actual
activity,june_year,future_forecast,current_basecase,basecase,HEAVY_RUC,Heavy RUC volume,FY2027,FY2027,2027,,june_year_aggregate,4100270092.100126,net km,True,numeric_forecast_available,fixed_finalist_activity_forecast,,,,,forecast_scenario_comparison.parquet,4.0,sum_quarters,HEAVY_RUC,FY2027,current_basecase,HEAVY_RUC|FY2027|current_basecase
activity,june_year,future_forecast,current_comparison_1,comparison,HEAVY_RUC,Heavy RUC volume,FY2027,FY2027,2027,,june_year_aggregate,4108254858.4457273,net km,True,numeric_forecast_available,fixed_finalist_activity_forecast,,,,,forecast_scenario_comparison.parquet,4.0,sum_quarters,HEAVY_RUC,FY2027,current_comparison_1,HEAVY_RUC|FY2027|current_comparison_1
activity,june_year,future_forecast,current_basecase,basecase,HEAVY_RUC,Heavy RUC volume,FY2028,FY2028,2028,,june_year_aggregate,4134118313.509229,net km,True,numeric_forecast_available,fixed_finalist_activity_forecast,,,,,forecast_scenario_comparison.parquet,4.0,sum_quarters,HEAVY_RUC,FY2028,current_basecase,HEAVY_RUC|FY2028|current_basecase
activity,june_year,future_forecast,current_comparison_1,comparison,HEAVY_RUC,Heavy RUC volume,FY2028,FY2028,2028,,june_year_aggregate,4141952039.8731565,net km,True,numeric_forecast_available,fixed_finalist_activity_forecast,,,,,forecast_scenario_comparison.parquet,4.0,sum_quarters,HEAVY_RUC,FY2028,current_comparison_1,HEAVY_RUC|FY2028|current_comparison_1
activity,june_year,future_forecast,current_basecase,basecase,HEAVY_RUC,Heavy RUC volume,FY2029,FY2029,2029,,june_year_aggregate,4171786051.335746,net km,True,numeric_forecast_available,fixed_finalist_activity_forecast,,,,,forecast_scenario_comparison.parquet,4.0,sum_quarters,HEAVY_RUC,FY2029,current_basecase,HEAVY_RUC|FY2029|current_basecase
