base_scenario,base_scenario_role,base_workbook_filename,base_workbook_sha256,base_sheet,base_cell,base_range,base_period,base_canonical_period,base_variable_name,base_canonical_variable,base_value,base_unit,base_value_type,base_source_artifact,base_source_status,comparison_scenario,comparison_scenario_role,comparison_workbook_filename,comparison_workbook_sha256,comparison_is_test_fixture,comparison_sheet,comparison_cell,comparison_range,comparison_period,comparison_canonical_period,comparison_variable_name,comparison_canonical_variable,comparison_value,comparison_unit,comparison_value_type,comparison_source_artifact,comparison_source_status,stream,canonical_variable,variable_name,period,canonical_period,unit,value_type,absolute_delta,pct_delta,field_classification,field_classification_detail,affects_ped_vktpc_directly,affects_bridge_scaling,source_status,notes
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase (2) - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,Heavy RUC Inputs,AB2,AB2,2026Q1,2026Q1,diff_log_real_gdp,diff_log_real_gdp,0.0056848717423712,,numeric,scenario_inputs/scenario_input_cells.parquet,materialized_from_workbook_cell,current_comparison_1,comparison,NLTF_forecast_input_template_to_2050Q4_high_population (2) - Copy.xlsx,6213ce565cf1f4a058a3ea9f1af4d5476a8b0423a4d8747905c3cba128380ce1,False,Heavy RUC Inputs,AB2,AB2,2026Q1,2026Q1,diff_log_real_gdp,diff_log_real_gdp,0.006660482736606355,,numeric,scenario_inputs/scenario_input_cells.parquet,materialized_from_workbook_cell,HEAVY_RUC,diff_log_real_gdp,diff_log_real_gdp,2026Q1,2026Q1,,numeric,0.0009756109942350997,0.17161530434601596,macro,diff_log_real_gdp:macro,False,False,committed_scenario_input_delta,Base/comparison delta from committed scenario_input_long workbook-cell artifacts; Streamlit does not load Excel at runtime.
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase (2) - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,Heavy RUC Inputs,AC2,AC2,2026Q1,2026Q1,gdp_heavy_ruc_price_interaction,gdp_heavy_ruc_price_interaction,147.14368400885812,derived interaction,numeric,scenario_inputs/scenario_input_cells.parquet,materialized_from_workbook_cell,current_comparison_1,comparison,NLTF_forecast_input_template_to_2050Q4_high_population (2) - Copy.xlsx,6213ce565cf1f4a058a3ea9f1af4d5476a8b0423a4d8747905c3cba128380ce1,False,Heavy RUC Inputs,AC2,AC2,2026Q1,2026Q1,gdp_heavy_ruc_price_interaction,gdp_heavy_ruc_price_interaction,147.14932308797123,derived interaction,numeric,scenario_inputs/scenario_input_cells.parquet,materialized_from_workbook_cell,HEAVY_RUC,gdp_heavy_ruc_price_interaction,gdp_heavy_ruc_price_interaction,2026Q1,2026Q1,derived interaction,numeric,0.005639079113137768,3.832362327422965e-05,price/rate/policy,gdp_heavy_ruc_price_interaction:price/rate/policy,False,False,committed_scenario_input_delta,Base/comparison delta from committed scenario_input_long workbook-cell artifacts; Streamlit does not load Excel at runtime.
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase (2) - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,Heavy RUC Inputs,S2,S2,2026Q1,2026Q1,log_real_gdp,log_real_gdp,25.457170040005757,log transformed,numeric,scenario_inputs/scenario_input_cells.parquet,materialized_from_workbook_cell,current_comparison_1,comparison,NLTF_forecast_input_template_to_2050Q4_high_population (2) - Copy.xlsx,6213ce565cf1f4a058a3ea9f1af4d5476a8b0423a4d8747905c3cba128380ce1,False,Heavy RUC Inputs,S2,S2,2026Q1,2026Q1,log_real_gdp,log_real_gdp,25.45814565099999,log transformed,numeric,scenario_inputs/scenario_input_cells.parquet,materialized_from_workbook_cell,HEAVY_RUC,log_real_gdp,log_real_gdp,2026Q1,2026Q1,log transformed,numeric,0.0009756109942316016,3.832362327385314e-05,macro,log_real_gdp:macro,False,False,committed_scenario_input_delta,Base/comparison delta from committed scenario_input_long workbook-cell artifacts; Streamlit does not load Excel at runtime.
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase (2) - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,Heavy RUC Inputs,E2,E2,2026Q1,2026Q1,real_gdp_sa_nzd,real_gdp_sa_nzd,113738755825.49698,real NZD,numeric,scenario_inputs/scenario_input_cells.parquet,materialized_from_workbook_cell,current_comparison_1,comparison,NLTF_forecast_input_template_to_2050Q4_high_population (2) - Copy.xlsx,6213ce565cf1f4a058a3ea9f1af4d5476a8b0423a4d8747905c3cba128380ce1,False,Heavy RUC Inputs,E2,E2,2026Q1,2026Q1,real_gdp_sa_nzd,real_gdp_sa_nzd,113849774752.988,real NZD,numeric,scenario_inputs/scenario_input_cells.parquet,materialized_from_workbook_cell,HEAVY_RUC,real_gdp_sa_nzd,real_gdp_sa_nzd,2026Q1,2026Q1,real NZD,numeric,111018927.49102783,0.0009760870574437966,macro,real_gdp_sa_nzd:macro,False,False,committed_scenario_input_delta,Base/comparison delta from committed scenario_input_long workbook-cell artifacts; Streamlit does not load Excel at runtime.
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase (2) - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,Heavy RUC Inputs,AB3,AB3,2026Q2,2026Q2,diff_log_real_gdp,diff_log_real_gdp,0.005684871742374753,,numeric,scenario_inputs/scenario_input_cells.parquet,materialized_from_workbook_cell,current_comparison_1,comparison,NLTF_forecast_input_template_to_2050Q4_high_population (2) - Copy.xlsx,6213ce565cf1f4a058a3ea9f1af4d5476a8b0423a4d8747905c3cba128380ce1,False,Heavy RUC Inputs,AB3,AB3,2026Q2,2026Q2,diff_log_real_gdp,diff_log_real_gdp,0.006660482736602802,,numeric,scenario_inputs/scenario_input_cells.parquet,materialized_from_workbook_cell,HEAVY_RUC,diff_log_real_gdp,diff_log_real_gdp,2026Q2,2026Q2,,numeric,0.0009756109942281,0.17161530434467906,macro,diff_log_real_gdp:macro,False,False,committed_scenario_input_delta,Base/comparison delta from committed scenario_input_long workbook-cell artifacts; Streamlit does not load Excel at runtime.
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase (2) - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,Heavy RUC Inputs,AC3,AC3,2026Q2,2026Q2,gdp_heavy_ruc_price_interaction,gdp_heavy_ruc_price_interaction,147.17017394598966,derived interaction,numeric,scenario_inputs/scenario_input_cells.parquet,materialized_from_workbook_cell,current_comparison_1,comparison,NLTF_forecast_input_template_to_2050Q4_high_population (2) - Copy.xlsx,6213ce565cf1f4a058a3ea9f1af4d5476a8b0423a4d8747905c3cba128380ce1,False,Heavy RUC Inputs,AC3,AC3,2026Q2,2026Q2,gdp_heavy_ruc_price_interaction,gdp_heavy_ruc_price_interaction,147.18145161616624,derived interaction,numeric,scenario_inputs/scenario_input_cells.parquet,materialized_from_workbook_cell,HEAVY_RUC,gdp_heavy_ruc_price_interaction,gdp_heavy_ruc_price_interaction,2026Q2,2026Q2,derived interaction,numeric,0.011277670176582433,7.663013417869066e-05,price/rate/policy,gdp_heavy_ruc_price_interaction:price/rate/policy,False,False,committed_scenario_input_delta,Base/comparison delta from committed scenario_input_long workbook-cell artifacts; Streamlit does not load Excel at runtime.
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase (2) - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,Heavy RUC Inputs,S3,S3,2026Q2,2026Q2,log_real_gdp,log_real_gdp,25.46285491174813,log transformed,numeric,scenario_inputs/scenario_input_cells.parquet,materialized_from_workbook_cell,current_comparison_1,comparison,NLTF_forecast_input_template_to_2050Q4_high_population (2) - Copy.xlsx,6213ce565cf1f4a058a3ea9f1af4d5476a8b0423a4d8747905c3cba128380ce1,False,Heavy RUC Inputs,S3,S3,2026Q2,2026Q2,log_real_gdp,log_real_gdp,25.464806133736595,log transformed,numeric,scenario_inputs/scenario_input_cells.parquet,materialized_from_workbook_cell,HEAVY_RUC,log_real_gdp,log_real_gdp,2026Q2,2026Q2,log transformed,numeric,0.0019512219884632032,7.663013417882463e-05,macro,log_real_gdp:macro,False,False,committed_scenario_input_delta,Base/comparison delta from committed scenario_input_long workbook-cell artifacts; Streamlit does not load Excel at runtime.
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase (2) - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,Heavy RUC Inputs,Z3,Z3,2026Q2,2026Q2,log_target_lag_1,log_target_lag_1,20.756130803338955,log transformed,numeric,scenario_inputs/scenario_input_cells.parquet,materialized_from_workbook_cell,current_comparison_1,comparison,NLTF_forecast_input_template_to_2050Q4_high_population (2) - Copy.xlsx,6213ce565cf1f4a058a3ea9f1af4d5476a8b0423a4d8747905c3cba128380ce1,False,Heavy RUC Inputs,Z3,Z3,2026Q2,2026Q2,log_target_lag_1,log_target_lag_1,20.760079475794374,log transformed,numeric,scenario_inputs/scenario_input_cells.parquet,materialized_from_workbook_cell,HEAVY_RUC,log_target_lag_1,log_target_lag_1,2026Q2,2026Q2,log transformed,numeric,0.003948672455415192,0.0001902412589720231,behavioural,log_target_lag_1:behavioural,False,False,committed_scenario_input_delta,Base/comparison delta from committed scenario_input_long workbook-cell artifacts; Streamlit does not load Excel at runtime.
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase (2) - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,Heavy RUC Inputs,E3,E3,2026Q2,2026Q2,real_gdp_sa_nzd,real_gdp_sa_nzd,114387187443.472,real NZD,numeric,scenario_inputs/scenario_input_cells.parquet,materialized_from_workbook_cell,current_comparison_1,comparison,NLTF_forecast_input_template_to_2050Q4_high_population (2) - Copy.xlsx,6213ce565cf1f4a058a3ea9f1af4d5476a8b0423a4d8747905c3cba128380ce1,False,Heavy RUC Inputs,E3,E3,2026Q2,2026Q2,real_gdp_sa_nzd,real_gdp_sa_nzd,114610600131.8028,real NZD,numeric,scenario_inputs/scenario_input_cells.parquet,materialized_from_workbook_cell,HEAVY_RUC,real_gdp_sa_nzd,real_gdp_sa_nzd,2026Q2,2026Q2,real NZD,numeric,223412688.3307953,0.0019531268608313467,macro,real_gdp_sa_nzd:macro,False,False,committed_scenario_input_delta,Base/comparison delta from committed scenario_input_long workbook-cell artifacts; Streamlit does not load Excel at runtime.
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase (2) - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,Heavy RUC Inputs,L3,L3,2026Q2,2026Q2,target_lag_1,target_lag_1,1033410984.606,model target units,numeric,scenario_inputs/scenario_input_cells.parquet,materialized_from_workbook_cell,current_comparison_1,comparison,NLTF_forecast_input_template_to_2050Q4_high_population (2) - Copy.xlsx,6213ce565cf1f4a058a3ea9f1af4d5476a8b0423a4d8747905c3cba128380ce1,False,Heavy RUC Inputs,L3,L3,2026Q2,2026Q2,target_lag_1,target_lag_1,1037499653.1899999,model target units,numeric,scenario_inputs/scenario_input_cells.parquet,materialized_from_workbook_cell,HEAVY_RUC,target_lag_1,target_lag_1,2026Q2,2026Q2,model target units,numeric,4088668.5840001106,0.0039564787339269126,behavioural,target_lag_1:behavioural,False,False,committed_scenario_input_delta,Base/comparison delta from committed scenario_input_long workbook-cell artifacts; Streamlit does not load Excel at runtime.
