stream,stream_label,scenario,model,lag,acf_value,residual_scope,source_column,calculation_method,source_dataset,value_available,default_score_basis
PED,PED VKT per capita,Finalist,PED__RESCUE_static_annual_weighted_top12_capnone,1,0.436460044484454,H1 residual diagnostics,acf1_resid,Lag 1 residual autocorrelation supplied by H1 diagnostic audit table,model_diagnostic_audit_tables.xlsx/H1 diagnostics,True,schiff_paper_horizon_mean
HEAVY_RUC,Heavy RUC volume,Finalist,HEAVY_RUC__RECON_STATIC_REBUILT,1,-0.152161998282964,H1 residual diagnostics,acf1_resid,Lag 1 residual autocorrelation supplied by H1 diagnostic audit table,model_diagnostic_audit_tables.xlsx/H1 diagnostics,True,schiff_paper_horizon_mean
HEAVY_RUC,Heavy RUC volume,Finalist,HEAVY_RUC__RECON_STATIC_REBUILT,1,0.3143878516349214,All selected quarterly residuals averaged by target period,error_pct,pandas Series.autocorr by lag on target-period mean signed error,residual_predictions.parquet,True,schiff_paper_horizon_mean
HEAVY_RUC,Heavy RUC volume,Finalist,HEAVY_RUC__RECON_STATIC_REBUILT,2,0.17711552332435918,All selected quarterly residuals averaged by target period,error_pct,pandas Series.autocorr by lag on target-period mean signed error,residual_predictions.parquet,True,schiff_paper_horizon_mean
HEAVY_RUC,Heavy RUC volume,Finalist,HEAVY_RUC__RECON_STATIC_REBUILT,3,0.1352779722020742,All selected quarterly residuals averaged by target period,error_pct,pandas Series.autocorr by lag on target-period mean signed error,residual_predictions.parquet,True,schiff_paper_horizon_mean
HEAVY_RUC,Heavy RUC volume,Finalist,HEAVY_RUC__RECON_STATIC_REBUILT,4,0.18935400553182993,All selected quarterly residuals averaged by target period,error_pct,pandas Series.autocorr by lag on target-period mean signed error,residual_predictions.parquet,True,schiff_paper_horizon_mean
HEAVY_RUC,Heavy RUC volume,Finalist,HEAVY_RUC__RECON_STATIC_REBUILT,5,0.1453408384954347,All selected quarterly residuals averaged by target period,error_pct,pandas Series.autocorr by lag on target-period mean signed error,residual_predictions.parquet,True,schiff_paper_horizon_mean
HEAVY_RUC,Heavy RUC volume,Finalist,HEAVY_RUC__RECON_STATIC_REBUILT,6,0.012198491377846921,All selected quarterly residuals averaged by target period,error_pct,pandas Series.autocorr by lag on target-period mean signed error,residual_predictions.parquet,True,schiff_paper_horizon_mean
HEAVY_RUC,Heavy RUC volume,Finalist,HEAVY_RUC__RECON_STATIC_REBUILT,7,-0.01514692222007994,All selected quarterly residuals averaged by target period,error_pct,pandas Series.autocorr by lag on target-period mean signed error,residual_predictions.parquet,True,schiff_paper_horizon_mean
HEAVY_RUC,Heavy RUC volume,Finalist,HEAVY_RUC__RECON_STATIC_REBUILT,8,-0.038719027637144125,All selected quarterly residuals averaged by target period,error_pct,pandas Series.autocorr by lag on target-period mean signed error,residual_predictions.parquet,True,schiff_paper_horizon_mean
