stream,stream_label,scenario,model,model_short,model_class,score_basis,eval_grid,n_quarterly_pairs,n_origins,quarterly_pooled_mape,horizon_mean_mape,quarterly_bias_pct,quarterly_p90_ape,mape_h09_12,mape_h01,mape_h02,mape_h03,mape_h04,mape_h05,mape_h06,mape_h07,mape_h08,mape_h09,mape_h10,mape_h11,mape_h12,n_annual_pairs,annual_mape,annual_bias_pct,annual_p90_ape,primary_mape,pooled_mape
HEAVY_RUC,Heavy RUC volume,Finalist,HEAVY_RUC__RECON_STATIC_REBUILT,HEAVY RUC  RECON STATIC REBUILT,Current finalist,current_grid_operational_pooled,current_evidence_grid,438,42,3.4843675656819766,3.541524227841768,-0.0957778166716385,6.50589313047004,4.268496392837581,2.7751999499869866,2.7528810665350183,2.914943710824302,2.7669300984679315,3.346663711964116,3.3726220710737476,3.6017920162591404,3.8768333865575837,4.243017051329121,4.007454473435774,4.357404572622521,4.482548625044974,82,2.7845962414849983,-0.2668643775276722,6.073333400069761,3.4843675656819766,3.4843675656819766
HEAVY_RUC,Heavy RUC volume,Finalist,HEAVY_RUC__RECON_STATIC_REBUILT,HEAVY RUC  RECON STATIC REBUILT,Current finalist,schiff_paper_horizon_mean,schiff_paper_grid,126,24,2.598732294071257,2.8094728159657563,-0.7273299437340567,5.110880918199035,3.4810576151323853,2.4837435416309237,2.4252702109011577,2.248319501799304,1.875214356608336,2.1748127661676415,2.45168722257879,2.691452448895128,2.77541382638844,2.435979908554022,3.0152399103900653,4.2302788639030355,4.906261233772236,24,2.061102375292297,-1.0290864443226877,4.549173936766524,2.8094728159657563,2.598732294071257
HEAVY_RUC,Heavy RUC volume,Schiff,HEAVY_RUC__SCHIFF_SPEC_FROM_WORKBOOK,HEAVY RUC  SCHIFF SPEC FROM WORKBOOK,Schiff specification,current_grid_operational_pooled,current_evidence_grid,426,41,7.800196102221683,7.996945049358463,7.566395170216368,19.210889353305895,9.97909923809252,3.2226445133980977,4.8663010535387965,6.101067729149552,7.044161584814237,8.039100189340727,8.485074932741657,8.960541102963582,9.311424809061755,9.829682024009491,9.892615256412752,10.1014870960089,10.109240300862021,73,8.112774746198832,8.02234735697522,23.122356529099026,7.800196102221682,7.800196102221682
HEAVY_RUC,Heavy RUC volume,Schiff,HEAVY_RUC__SCHIFF_SPEC_FROM_WORKBOOK,HEAVY RUC  SCHIFF SPEC FROM WORKBOOK,Schiff specification,schiff_paper_horizon_mean,schiff_paper_grid,126,24,8.240529998879554,8.761651777033487,7.795819807707022,34.136283129093755,9.95431976757298,3.384178808162318,5.619373964572807,7.68423752433131,8.464055935251308,9.118235266296852,9.692246427307197,10.632842718111759,11.23144243630809,11.161846219523284,10.020399168263106,8.719935741500406,9.411027114773407,24,8.8795079281538,8.732776361505834,23.10773666630382,8.761651777033487,8.240529998879554
LIGHT_RUC,Light RUC volume,Schiff,LIGHT_RUC__SCHIFF_SPEC_FROM_WORKBOOK,LIGHT RUC  SCHIFF SPEC FROM WORKBOOK,Schiff specification,current_grid_operational_pooled,current_evidence_grid,426,41,9.527167640611022,9.670025044009078,3.993530166920499,20.092198836624384,11.287607785968166,7.54939861403993,7.79555772700679,7.443073708599397,8.147843202370616,9.609422290553226,9.884165537825744,10.062805841448693,10.33860225658934,10.684471729441277,11.193753154648862,11.514719044111638,11.816487421473413,80,5.547477717280171,2.7756599989718715,10.680335263088002,9.527167640611024,9.527167640611024
LIGHT_RUC,Light RUC volume,Schiff,LIGHT_RUC__SCHIFF_SPEC_FROM_WORKBOOK,LIGHT RUC  SCHIFF SPEC FROM WORKBOOK,Schiff specification,schiff_paper_horizon_mean,schiff_paper_grid,126,24,7.727108089529396,8.52139709000687,0.4241215010935295,20.517307519207304,11.612823876023848,7.402168438830974,6.882750509426432,4.865261568047162,5.583931850172399,6.430156432477467,7.0069704663048125,8.018217165196745,8.32008287393783,9.531939359101978,11.251706827246538,12.098060166377943,14.865519422962157,24,2.702000321793147,-1.2512124526158803,5.456164774391714,8.52139709000687,7.727108089529398
PED,PED VKT per capita,Finalist,PED__RESCUE_static_annual_weighted_top12_capnone,PED  RESCUE static annual weighted top12 capnone,Current finalist,current_grid_operational_pooled,current_evidence_grid,606,56,2.473244583116969,2.53072159872341,1.5153165651225482,9.01858854655225,3.5158732389911265,1.1626321158641275,1.515491228554866,1.693884319484315,1.869698336317768,2.134077470017479,2.425507180715728,2.648495511104049,2.830876399347287,3.1796780506859244,3.3967777455204162,3.659984761862246,3.851556065206718,114,2.239648058288008,1.5527167323073563,8.237457515310163,2.473244583116969,2.473244583116969
PED,PED VKT per capita,Finalist,PED__RESCUE_static_annual_weighted_top12_capnone,PED  RESCUE static annual weighted top12 capnone,Current finalist,schiff_paper_horizon_mean,schiff_paper_grid,126,24,2.6596099654459304,3.237143790424483,1.9730359535156792,6.439347178080364,5.353111205408429,1.1727971889267594,1.7378813587909316,2.0642325619845883,2.086516476330505,2.1861795966365984,2.2885758295949388,2.259532805298138,2.3410223891811324,3.398623118016033,4.5499260468500475,6.340233501119912,8.420204612364214,24,2.033293734597686,1.827489258624052,3.887378388445334,3.237143790424483,2.6596099654459304
PED,PED VKT per capita,Schiff,PED__SCHIFF_SPEC_FROM_WORKBOOK,PED  SCHIFF SPEC FROM WORKBOOK,Schiff specification,current_grid_operational_pooled,current_evidence_grid,606,56,4.165909755893547,4.255384577565933,0.9800812038210508,10.647610513549163,5.716914213748447,1.8719376894364506,2.45779627964146,2.9090699897458756,3.4150821931731628,3.883521256504546,4.236223016591913,4.515138862294865,4.884722537590503,5.386525469734657,5.642245444938365,5.801436696571052,6.0609154945683565,114,4.206617985893764,1.1146997542922672,11.087138136505255,4.165909755893547,4.165909755893547
PED,PED VKT per capita,Schiff,PED__SCHIFF_SPEC_FROM_WORKBOOK,PED  SCHIFF SPEC FROM WORKBOOK,Schiff specification,schiff_paper_horizon_mean,schiff_paper_grid,126,24,3.8740657573171497,4.674916987180525,2.829016828169112,8.383645844459846,7.447797018329782,1.7591260946008245,2.0302886520277146,2.1671506651279686,2.187372358723237,3.004605509516073,3.8548570355598284,4.669835317931017,5.772913221278104,6.155096004595882,6.912619875777557,8.087919754223915,9.497219356804177,24,3.5857289049779326,2.8477481967256373,8.905049674178251,4.674916987180525,3.874065757317151
LIGHT_RUC,Light RUC volume,Finalist,dynamic_RESID_GBR_n150_d1_lr0.05_w36,Light RUC dynamic residual GBM W36,Current finalist,current_grid_operational_pooled,current_evidence_grid,390,38,8.272972483557215,8.396298989998039,2.360707145770628,20.68124521808071,9.617809058148822,6.265686406571149,7.841442161145339,7.139528085142548,6.607017961565751,7.551976738164631,8.332210373607305,9.057510238438043,9.418079799021877,9.164799151549875,9.171444946224906,9.955270141231631,10.2506218773134,69,6.774905891667214,2.5144511300971164,13.78480313108484,8.272972483557215,8.272972483557215
LIGHT_RUC,Light RUC volume,Finalist,dynamic_RESID_GBR_n150_d1_lr0.05_w36,Light RUC dynamic residual GBM W36,Current finalist,schiff_paper_horizon_mean,schiff_paper_grid,126,24,4.794902897619616,5.363206773795227,0.8368914931655517,12.71634342135053,7.806238675295461,4.64054051937442,4.624862978118963,3.8952458237110696,3.4061066147195125,3.267000719892162,3.592381682855051,4.218640234649504,4.206058837855467,5.772509932124667,7.076862919061146,8.952730551352895,10.70554047182786,10,1.2737736398959618,-1.023445896208342,4.000755228962989,5.363206773795227,4.794902897619616
