source_path,scenario_name,scenario_role,series_id,bridge_variant,mbu_comparator_series_id,start_fy,end_fy,n_rows,correlation_vs_mbu,slope_vs_mbu,intercept_vs_mbu,mean_error,mean_abs_error,rmse,mean_abs_pct_error,shape_anchor_status,notes
Current finalist Base case,current_basecase,basecase,gross_ped_revenue_optimized,optimized,gross_ped_revenue,2026,2050,25,0.9945536430559742,0.8744523179395838,80.36937000298667,-209.01166341189165,209.01166341189165,225.54120682779086,0.08915394018213575,optimized_closer_to_mbu_than_raw,FY2026-FY2050 shape fit. Lower error and higher correlation indicate closer alignment to MBU26 shape.
Current finalist Base case,current_basecase,basecase,gross_ped_revenue_raw,raw,gross_ped_revenue,2026,2050,25,-0.5701468262272444,-0.548332559643784,4484.328408913294,915.500463814265,921.843737856213,1317.758237158108,0.5515954945124499,shape_fit_reported,FY2026-FY2050 shape fit. Lower error and higher correlation indicate closer alignment to MBU26 shape.
Current finalist Base case,current_basecase,basecase,optimized_light_petrol_vkt,optimized,light_petrol_vkt,2026,2050,25,0.9952572161980181,0.9199561052936464,-199.40718307268253,-2153.517576889688,2153.517576889688,2360.0507832205762,0.08915394018213575,optimized_closer_to_mbu_than_raw,FY2026-FY2050 shape fit. Lower error and higher correlation indicate closer alignment to MBU26 shape.
Current finalist Base case,current_basecase,basecase,raw_light_petrol_vkt,raw,light_petrol_vkt,2026,2050,25,0.48097259582031177,0.010845432132996036,32193.508978987,8045.29343735803,8124.295609532976,11299.91442950512,0.5515954945124498,shape_fit_reported,FY2026-FY2050 shape fit. Lower error and higher correlation indicate closer alignment to MBU26 shape.
Current finalist Base case,current_basecase,basecase,ped_volume_optimized,optimized,ped_volume,2026,2050,25,0.9961199297035718,0.9273601819313112,-29.67293355827087,-176.25550969751737,176.25550969751737,195.77623793735302,0.08915394018213575,optimized_closer_to_mbu_than_raw,FY2026-FY2050 shape fit. Lower error and higher correlation indicate closer alignment to MBU26 shape.
Current finalist Base case,current_basecase,basecase,ped_volume_raw,raw,ped_volume,2026,2050,25,0.977535425829132,0.26753300896760207,2078.8356209041553,600.7633826041638,607.7287128957963,829.4057470560404,0.5515954945124498,shape_fit_reported,FY2026-FY2050 shape fit. Lower error and higher correlation indicate closer alignment to MBU26 shape.
Current finalist High population/comparison,current_comparison_1,comparison,gross_ped_revenue_optimized,optimized,gross_ped_revenue,2026,2050,25,0.9979313316317776,0.8074211080650889,377.1751466689709,-66.70942250371108,110.70377544411602,127.5957531817052,0.048798856459989375,optimized_closer_to_mbu_than_raw,FY2026-FY2050 shape fit. Lower error and higher correlation indicate closer alignment to MBU26 shape.
Current finalist High population/comparison,current_comparison_1,comparison,gross_ped_revenue_raw,raw,gross_ped_revenue,2026,2050,25,-0.631502439643037,-0.8260195689686536,5400.857072675162,1191.9746685408163,1191.9746685408163,1648.6187774910254,0.7006710271341546,shape_fit_reported,FY2026-FY2050 shape fit. Lower error and higher correlation indicate closer alignment to MBU26 shape.
Current finalist High population/comparison,current_comparison_1,comparison,optimized_light_petrol_vkt,optimized,light_petrol_vkt,2026,2050,25,0.9981995385252084,0.8680415306514521,2413.7836391988567,-807.716482105359,1176.4730345150713,1395.5216946018008,0.04879885645998937,optimized_closer_to_mbu_than_raw,FY2026-FY2050 shape fit. Lower error and higher correlation indicate closer alignment to MBU26 shape.
Current finalist High population/comparison,current_comparison_1,comparison,raw_light_petrol_vkt,raw,light_petrol_vkt,2026,2050,25,-0.9427606322276317,-0.1775471724914322,39324.738741540394,10577.297385557946,10577.297385557946,14188.92122721203,0.7006710271341546,shape_fit_reported,FY2026-FY2050 shape fit. Lower error and higher correlation indicate closer alignment to MBU26 shape.
Current finalist High population/comparison,current_comparison_1,comparison,ped_volume_optimized,optimized,ped_volume,2026,2050,25,0.9983039762920377,0.890873700038274,149.23261268522924,-70.97738505744081,97.46827910213877,117.83923425666713,0.048798856459989395,optimized_closer_to_mbu_than_raw,FY2026-FY2050 shape fit. Lower error and higher correlation indicate closer alignment to MBU26 shape.
Current finalist High population/comparison,current_comparison_1,comparison,ped_volume_raw,raw,ped_volume,2026,2050,25,0.968853171202751,0.12977340490470773,2551.069765653333,795.0073259961902,795.0073259961902,1044.7118722136356,0.7006710271341546,shape_fit_reported,FY2026-FY2050 shape fit. Lower error and higher correlation indicate closer alignment to MBU26 shape.
