scenario_name,role,workbook_filename,workbook_sha256,sheet,stream,cell,range,row_label,column_label,period,canonical_period,variable_name,canonical_variable,value,unit,value_type,source_status,source_artifact
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase (2) - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,PED Inputs,PED,A2,A2,2026Q1,period,2026Q1,2026Q1,period,period,2026Q1,system,text,materialized_from_workbook_cell,scenario_inputs/scenario_input_cells.parquet
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase (2) - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,PED Inputs,PED,B2,B2,2026Q1,year,2026Q1,2026Q1,year,year,2026,system,numeric,materialized_from_workbook_cell,scenario_inputs/scenario_input_cells.parquet
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase (2) - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,PED Inputs,PED,C2,C2,2026Q1,quarter,2026Q1,2026Q1,quarter,quarter,1,system,numeric,materialized_from_workbook_cell,scenario_inputs/scenario_input_cells.parquet
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase (2) - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,PED Inputs,PED,D2,D2,2026Q1,horizon,2026Q1,2026Q1,horizon,horizon,1,system,numeric,materialized_from_workbook_cell,scenario_inputs/scenario_input_cells.parquet
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase (2) - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,PED Inputs,PED,E2,E2,2026Q1,real_gdp_per_capita_nzd,2026Q1,2026Q1,real_gdp_per_capita_nzd,real_gdp_per_capita_nzd,21243.780135691777,real NZD/person,numeric,materialized_from_workbook_cell,scenario_inputs/scenario_input_cells.parquet
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase (2) - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,PED Inputs,PED,F2,F2,2026Q1,population,2026Q1,2026Q1,population,population,5353979.145849093,persons,numeric,materialized_from_workbook_cell,scenario_inputs/scenario_input_cells.parquet
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase (2) - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,PED Inputs,PED,G2,G2,2026Q1,unemployment_rate,2026Q1,2026Q1,unemployment_rate,unemployment_rate,0.0533,percentage points,numeric,materialized_from_workbook_cell,scenario_inputs/scenario_input_cells.parquet
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase (2) - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,PED Inputs,PED,H2,H2,2026Q1,real_petrol_price_cents_per_litre,2026Q1,2026Q1,real_petrol_price_cents_per_litre,real_petrol_price_cents_per_litre,269.8,cents/litre,numeric,materialized_from_workbook_cell,scenario_inputs/scenario_input_cells.parquet
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase (2) - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,PED Inputs,PED,I2,I2,2026Q1,target_lag_1,2026Q1,2026Q1,target_lag_1,target_lag_1,1565.5435343949114,model target units,numeric,materialized_from_workbook_cell,scenario_inputs/scenario_input_cells.parquet
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase (2) - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,PED Inputs,PED,J2,J2,2026Q1,target_lag_4,2026Q1,2026Q1,target_lag_4,target_lag_4,1499.78577995301,model target units,numeric,materialized_from_workbook_cell,scenario_inputs/scenario_input_cells.parquet
