period,FY,time_grain,series_id,source_series_label,display_name,parent_series_id,value,unit,aggregation_sign,release_vintage,forecast_path,path_status,scenario_name,scenario_role,model_basis,revenue_basis,forecast_role,line,source_status,bridge_status,source_file,source_sheet,source_cell,normalized_source_sha256,source_hash_sha256,distilled_hash_sha256,schema_version
FY2013,2013,june_year,fed_refunds,FED refunds,FED refunds,net_fed_revenue,36.25090689,$m ex GST,-1,actual,official_actual,actual_or_benchmark,actual,actual,official_actuals,deduction,deduction,Actual,registered,source_actual_or_benchmark,annual_actuals.csv,NLTF core annual,E29,f37d30359832cb7099de8c021ed7d60d7d509935c902ce298f44e8fded81a711,00c6070694818d27d7c402749354d8175de999894846dce45a4abdd7f5eb3e6b,c7b9c80011a01cc86cc374b1a1ffbf0eb69e14dccc6690e1c54ffc6d6f9ed716,nltf-revenue-canonical-long-v2
FY2013,2013,june_year,gross_cng_revenue,Gross CNG revenue,Gross CNG revenue,gross_fed_revenue,0.15598234,$m ex GST,1,actual,official_actual,actual_or_benchmark,actual,actual,official_actuals,gross,official_pass_through,Actual,registered,source_actual_or_benchmark,annual_actuals.csv,NLTF core annual,E27,f37d30359832cb7099de8c021ed7d60d7d509935c902ce298f44e8fded81a711,00c6070694818d27d7c402749354d8175de999894846dce45a4abdd7f5eb3e6b,c7b9c80011a01cc86cc374b1a1ffbf0eb69e14dccc6690e1c54ffc6d6f9ed716,nltf-revenue-canonical-long-v2
FY2013,2013,june_year,gross_fed_revenue,Gross FED revenue,Gross FED revenue,net_fed_revenue,1570.37289115,$m ex GST,1,actual,official_actual,actual_or_benchmark,actual,actual,official_actuals,gross,aggregation,Actual,registered,source_actual_or_benchmark,annual_actuals.csv,NLTF core annual,E28,f37d30359832cb7099de8c021ed7d60d7d509935c902ce298f44e8fded81a711,00c6070694818d27d7c402749354d8175de999894846dce45a4abdd7f5eb3e6b,c7b9c80011a01cc86cc374b1a1ffbf0eb69e14dccc6690e1c54ffc6d6f9ed716,nltf-revenue-canonical-long-v2
FY2013,2013,june_year,gross_lpg_revenue,Gross LPG revenue,Gross LPG revenue,gross_fed_revenue,32.43573362,$m ex GST,1,actual,official_actual,actual_or_benchmark,actual,actual,official_actuals,gross,official_pass_through,Actual,registered,source_actual_or_benchmark,annual_actuals.csv,NLTF core annual,E26,f37d30359832cb7099de8c021ed7d60d7d509935c902ce298f44e8fded81a711,00c6070694818d27d7c402749354d8175de999894846dce45a4abdd7f5eb3e6b,c7b9c80011a01cc86cc374b1a1ffbf0eb69e14dccc6690e1c54ffc6d6f9ed716,nltf-revenue-canonical-long-v2
FY2013,2013,june_year,gross_mvr_revenue,Gross MVR revenue,Gross MVR revenue,,271.5565145617391,$m ex GST,1,actual,official_actual,actual_or_benchmark,actual,actual,official_actuals,gross,unregistered_source_line,Actual,unregistered_source_series,source_registry_gap,annual_actuals.csv,NLTF core annual,E31,f37d30359832cb7099de8c021ed7d60d7d509935c902ce298f44e8fded81a711,00c6070694818d27d7c402749354d8175de999894846dce45a4abdd7f5eb3e6b,c7b9c80011a01cc86cc374b1a1ffbf0eb69e14dccc6690e1c54ffc6d6f9ed716,nltf-revenue-canonical-long-v2
FY2013,2013,june_year,gross_ped_revenue,Gross PED revenue,PED revenue,gross_fed_revenue,1537.78117519,$m ex GST,1,actual,official_actual,actual_or_benchmark,actual,actual,official_actuals,gross,econometric_bridge,Actual,registered_alias,source_actual_or_benchmark,annual_actuals.csv,NLTF core annual,E25,f37d30359832cb7099de8c021ed7d60d7d509935c902ce298f44e8fded81a711,00c6070694818d27d7c402749354d8175de999894846dce45a4abdd7f5eb3e6b,c7b9c80011a01cc86cc374b1a1ffbf0eb69e14dccc6690e1c54ffc6d6f9ed716,nltf-revenue-canonical-long-v2
FY2013,2013,june_year,gross_ruc_revenue,Gross RUC revenue,Gross RUC revenue,,1159.370633705217,$m ex GST,1,actual,official_actual,actual_or_benchmark,actual,actual,official_actuals,gross,unregistered_source_line,Actual,unregistered_source_series,source_registry_gap,annual_actuals.csv,NLTF core annual,E21,f37d30359832cb7099de8c021ed7d60d7d509935c902ce298f44e8fded81a711,00c6070694818d27d7c402749354d8175de999894846dce45a4abdd7f5eb3e6b,c7b9c80011a01cc86cc374b1a1ffbf0eb69e14dccc6690e1c54ffc6d6f9ed716,nltf-revenue-canonical-long-v2
FY2013,2013,june_year,heavy_ruc_net_km,Heavy RUC net km,Heavy RUC net km,heavy_ruc_net_revenue,3552.310017,million km,0,actual,official_actual,actual_or_benchmark,actual,actual,official_actuals,activity,econometric_model,Actual,registered,source_actual_or_benchmark,annual_actuals.csv,NLTF core annual,E7,f37d30359832cb7099de8c021ed7d60d7d509935c902ce298f44e8fded81a711,00c6070694818d27d7c402749354d8175de999894846dce45a4abdd7f5eb3e6b,c7b9c80011a01cc86cc374b1a1ffbf0eb69e14dccc6690e1c54ffc6d6f9ed716,nltf-revenue-canonical-long-v2
FY2013,2013,june_year,heavy_ruc_net_revenue,Heavy RUC net revenue,Heavy RUC revenue,total_ruc_net_revenue,776.3294544200002,$m ex GST,1,actual,official_actual,actual_or_benchmark,actual,actual,official_actuals,net,econometric_bridge,Actual,registered_alias,source_actual_or_benchmark,annual_actuals.csv,NLTF core annual,E16,f37d30359832cb7099de8c021ed7d60d7d509935c902ce298f44e8fded81a711,00c6070694818d27d7c402749354d8175de999894846dce45a4abdd7f5eb3e6b,c7b9c80011a01cc86cc374b1a1ffbf0eb69e14dccc6690e1c54ffc6d6f9ed716,nltf-revenue-canonical-long-v2
FY2013,2013,june_year,light_ruc_net_km,Light RUC net km,Light RUC net km,light_ruc_net_revenue,8150.161816,million km,0,actual,official_actual,actual_or_benchmark,actual,actual,official_actuals,activity,econometric_model,Actual,registered,source_actual_or_benchmark,annual_actuals.csv,NLTF core annual,E6,f37d30359832cb7099de8c021ed7d60d7d509935c902ce298f44e8fded81a711,00c6070694818d27d7c402749354d8175de999894846dce45a4abdd7f5eb3e6b,c7b9c80011a01cc86cc374b1a1ffbf0eb69e14dccc6690e1c54ffc6d6f9ed716,nltf-revenue-canonical-long-v2
