series,period,FY,time_grain,value,unit,value_status,source_basis,source_sheet,source_workbook_sheet,source_workbook_row,source_cell,derivation,quarter_count
Forecast input population count,2026Q1,2026,quarterly,5352652.096758237,persons,HYEFU25 macro path + BEFU fuel path,Forecast inputs population path,Forecast inputs,Forecast inputs,12,C12,direct quarterly population path row,1
Forecast input population count,2026Q2,2026,quarterly,5363325.434094038,persons,HYEFU25 macro path + BEFU fuel path,Forecast inputs population path,Forecast inputs,Forecast inputs,13,C13,direct quarterly population path row,1
Forecast input population count,2026Q3,2027,quarterly,5376683.757808709,persons,HYEFU25 macro path + BEFU fuel path,Forecast inputs population path,Forecast inputs,Forecast inputs,14,C14,direct quarterly population path row,1
Forecast input population count,2026Q4,2027,quarterly,5390075.352823929,persons,HYEFU25 macro path + BEFU fuel path,Forecast inputs population path,Forecast inputs,Forecast inputs,15,C15,direct quarterly population path row,1
Forecast input population count,2027Q1,2027,quarterly,5403500.30200784,persons,HYEFU25 macro path + BEFU fuel path,Forecast inputs population path,Forecast inputs,Forecast inputs,16,C16,direct quarterly population path row,1
Forecast input population count,2027Q2,2027,quarterly,5416958.688434979,persons,HYEFU25 macro path + BEFU fuel path,Forecast inputs population path,Forecast inputs,Forecast inputs,17,C17,direct quarterly population path row,1
Forecast input population count,2027Q3,2028,quarterly,5433136.943275041,persons,HYEFU25 macro path + BEFU fuel path,Forecast inputs population path,Forecast inputs,Forecast inputs,18,C18,direct quarterly population path row,1
Forecast input population count,2027Q4,2028,quarterly,5449363.515989528,persons,HYEFU25 macro path + BEFU fuel path,Forecast inputs population path,Forecast inputs,Forecast inputs,19,C19,direct quarterly population path row,1
Forecast input population count,2028Q1,2028,quarterly,5465638.5508843,persons,HYEFU25 macro path + BEFU fuel path,Forecast inputs population path,Forecast inputs,Forecast inputs,20,C20,direct quarterly population path row,1
Forecast input population count,2028Q2,2028,quarterly,5481962.192696201,persons,HYEFU25 macro path + BEFU fuel path,Forecast inputs population path,Forecast inputs,Forecast inputs,21,C21,direct quarterly population path row,1
Forecast input population count,2028Q3,2029,quarterly,5498334.586594344,persons,HYEFU25 macro path + BEFU fuel path,Forecast inputs population path,Forecast inputs,Forecast inputs,22,C22,direct quarterly population path row,1
Forecast input population count,2028Q4,2029,quarterly,5514755.878181404,persons,HYEFU25 macro path + BEFU fuel path,Forecast inputs population path,Forecast inputs,Forecast inputs,23,C23,direct quarterly population path row,1
Forecast input population count,2029Q1,2029,quarterly,5531226.213494914,persons,HYEFU25 macro path + BEFU fuel path,Forecast inputs population path,Forecast inputs,Forecast inputs,24,C24,direct quarterly population path row,1
Forecast input population count,2029Q2,2029,quarterly,5547745.739008557,persons,HYEFU25 macro path + BEFU fuel path,Forecast inputs population path,Forecast inputs,Forecast inputs,25,C25,direct quarterly population path row,1
Forecast input population count,2029Q3,2030,quarterly,5564314.601633478,persons,HYEFU25 macro path + BEFU fuel path,Forecast inputs population path,Forecast inputs,Forecast inputs,26,C26,direct quarterly population path row,1
Forecast input population count,2029Q4,2030,quarterly,5580932.948719583,persons,HYEFU25 macro path + BEFU fuel path,Forecast inputs population path,Forecast inputs,Forecast inputs,27,C27,direct quarterly population path row,1
Forecast input population count,2030Q1,2030,quarterly,5597600.928056855,persons,HYEFU25 macro path + BEFU fuel path,Forecast inputs population path,Forecast inputs,Forecast inputs,28,C28,direct quarterly population path row,1
Forecast input population count,2030Q2,2030,quarterly,5614318.687876661,persons,HYEFU25 macro path + BEFU fuel path,Forecast inputs population path,Forecast inputs,Forecast inputs,29,C29,direct quarterly population path row,1
Forecast input population count,2030Q3,2031,quarterly,5631086.376853081,persons,HYEFU25 macro path + BEFU fuel path,Forecast inputs population path,Forecast inputs,Forecast inputs,30,C30,direct quarterly population path row,1
Forecast input population count,2030Q4,2031,quarterly,5647904.14410422,persons,HYEFU25 macro path + BEFU fuel path,Forecast inputs population path,Forecast inputs,Forecast inputs,31,C31,direct quarterly population path row,1
Forecast input population count,2031Q1,2031,quarterly,5664772.139193539,persons,HYEFU25 macro path + BEFU fuel path,Forecast inputs population path,Forecast inputs,Forecast inputs,32,C32,direct quarterly population path row,1
Forecast input population count,2031Q2,2031,quarterly,5681690.512131183,persons,HYEFU25 terminal macro + extrapolated BEFU fuel path,Forecast inputs population path,Forecast inputs,Forecast inputs,33,C33,direct quarterly population path row,1
Population count,FY2014,2014,june_year,4425578.267844481,persons,official_befu25_implied_population,Official BEFU25 implied annual population,Official BEFU25 annual,Official BEFU25 annual,16;17,Q16;Q17,"Light petrol VKT million km / Light petrol VKT per capita * 1,000,000",
PED total VKT,FY2014,2014,june_year,29029.215428094154,million km,derived_bridge,Official BEFU25 implied annual population,Official BEFU25 annual + Model annual,Official BEFU25 annual;Model annual,16;17;35,Q16;Q17;F35,"PED VKT per capita * population / 1,000,000",
PED source-backed litres,FY2014,2014,june_year,2874.8872165497496,million L,source_backed_litres,Model annual PED volume,Model annual,Model annual,10,F10,direct source-backed PED litres row,
PED litres per 100km,FY2014,2014,june_year,9.903427199646138,L/100km,derived_bridge,source-backed litres divided by derived PED total VKT,Model annual + PED bridge,Model annual;Official BEFU25 annual;Model annual,10;16;17;35,F10;Q16;Q17;F35,PED source-backed litres / PED total VKT * 100,
Population count,FY2015,2015,june_year,4478823.037070825,persons,official_befu25_implied_population,Official BEFU25 implied annual population,Official BEFU25 annual,Official BEFU25 annual,16;17,R16;R17,"Light petrol VKT million km / Light petrol VKT per capita * 1,000,000",
PED total VKT,FY2015,2015,june_year,29675.526123599582,million km,derived_bridge,Official BEFU25 implied annual population,Official BEFU25 annual + Model annual,Official BEFU25 annual;Model annual,16;17;35,R16;R17;G35,"PED VKT per capita * population / 1,000,000",
PED source-backed litres,FY2015,2015,june_year,2964.807459636663,million L,source_backed_litres,Model annual PED volume,Model annual,Model annual,10,G10,direct source-backed PED litres row,
PED litres per 100km,FY2015,2015,june_year,9.990749438739986,L/100km,derived_bridge,source-backed litres divided by derived PED total VKT,Model annual + PED bridge,Model annual;Official BEFU25 annual;Model annual,10;16;17;35,G10;R16;R17;G35,PED source-backed litres / PED total VKT * 100,
Population count,FY2016,2016,june_year,4564865.365774831,persons,official_befu25_implied_population,Official BEFU25 implied annual population,Official BEFU25 annual,Official BEFU25 annual,16;17,S16;S17,"Light petrol VKT million km / Light petrol VKT per capita * 1,000,000",
PED total VKT,FY2016,2016,june_year,30553.462842462795,million km,derived_bridge,Official BEFU25 implied annual population,Official BEFU25 annual + Model annual,Official BEFU25 annual;Model annual,16;17;35,S16;S17;H35,"PED VKT per capita * population / 1,000,000",
PED source-backed litres,FY2016,2016,june_year,3066.231087778699,million L,source_backed_litres,Model annual PED volume,Model annual,Model annual,10,H10,direct source-backed PED litres row,
PED litres per 100km,FY2016,2016,june_year,10.035625433321725,L/100km,derived_bridge,source-backed litres divided by derived PED total VKT,Model annual + PED bridge,Model annual;Official BEFU25 annual;Model annual,10;16;17;35,H10;S16;S17;H35,PED source-backed litres / PED total VKT * 100,
Population count,FY2017,2017,june_year,4664280.08876669,persons,official_befu25_implied_population,Official BEFU25 implied annual population,Official BEFU25 annual,Official BEFU25 annual,16;17,T16;T17,"Light petrol VKT million km / Light petrol VKT per capita * 1,000,000",
PED total VKT,FY2017,2017,june_year,31222.572398987977,million km,derived_bridge,Official BEFU25 implied annual population,Official BEFU25 annual + Model annual,Official BEFU25 annual;Model annual,16;17;35,T16;T17;I35,"PED VKT per capita * population / 1,000,000",
PED source-backed litres,FY2017,2017,june_year,3135.456376496661,million L,source_backed_litres,Model annual PED volume,Model annual,Model annual,10,I10,direct source-backed PED litres row,
PED litres per 100km,FY2017,2017,june_year,10.042274340593062,L/100km,derived_bridge,source-backed litres divided by derived PED total VKT,Model annual + PED bridge,Model annual;Official BEFU25 annual;Model annual,10;16;17;35,I10;T16;T17;I35,PED source-backed litres / PED total VKT * 100,
Population count,FY2018,2018,june_year,4767304.8861465985,persons,official_befu25_implied_population,Official BEFU25 implied annual population,Official BEFU25 annual,Official BEFU25 annual,16;17,U16;U17,"Light petrol VKT million km / Light petrol VKT per capita * 1,000,000",
PED total VKT,FY2018,2018,june_year,31753.437330911867,million km,derived_bridge,Official BEFU25 implied annual population,Official BEFU25 annual + Model annual,Official BEFU25 annual;Model annual,16;17;35,U16;U17;J35,"PED VKT per capita * population / 1,000,000",
PED source-backed litres,FY2018,2018,june_year,3178.320964378337,million L,source_backed_litres,Model annual PED volume,Model annual,Model annual,10,J10,direct source-backed PED litres row,
PED litres per 100km,FY2018,2018,june_year,10.009376091338156,L/100km,derived_bridge,source-backed litres divided by derived PED total VKT,Model annual + PED bridge,Model annual;Official BEFU25 annual;Model annual,10;16;17;35,J10;U16;U17;J35,PED source-backed litres / PED total VKT * 100,
Population count,FY2019,2019,june_year,4859607.343142616,persons,official_befu25_implied_population,Official BEFU25 implied annual population,Official BEFU25 annual,Official BEFU25 annual,16;17,V16;V17,"Light petrol VKT million km / Light petrol VKT per capita * 1,000,000",
PED total VKT,FY2019,2019,june_year,32133.36939408617,million km,derived_bridge,Official BEFU25 implied annual population,Official BEFU25 annual + Model annual,Official BEFU25 annual;Model annual,16;17;35,V16;V17;K35,"PED VKT per capita * population / 1,000,000",
PED source-backed litres,FY2019,2019,june_year,3201.624133825383,million L,source_backed_litres,Model annual PED volume,Model annual,Model annual,10,K10,direct source-backed PED litres row,
PED litres per 100km,FY2019,2019,june_year,9.963549401123837,L/100km,derived_bridge,source-backed litres divided by derived PED total VKT,Model annual + PED bridge,Model annual;Official BEFU25 annual;Model annual,10;16;17;35,K10;V16;V17;K35,PED source-backed litres / PED total VKT * 100,
Population count,FY2020,2020,june_year,4941659.894603024,persons,official_befu25_implied_population,Official BEFU25 implied annual population,Official BEFU25 annual,Official BEFU25 annual,16;17,W16;W17,"Light petrol VKT million km / Light petrol VKT per capita * 1,000,000",
PED total VKT,FY2020,2020,june_year,31084.243529143812,million km,derived_bridge,Official BEFU25 implied annual population,Official BEFU25 annual + Model annual,Official BEFU25 annual;Model annual,16;17;35,W16;W17;L35,"PED VKT per capita * population / 1,000,000",
PED source-backed litres,FY2020,2020,june_year,3085.8950735610592,million L,source_backed_litres,Model annual PED volume,Model annual,Model annual,10,L10,direct source-backed PED litres row,
PED litres per 100km,FY2020,2020,june_year,9.927521867044314,L/100km,derived_bridge,source-backed litres divided by derived PED total VKT,Model annual + PED bridge,Model annual;Official BEFU25 annual;Model annual,10;16;17;35,L10;W16;W17;L35,PED source-backed litres / PED total VKT * 100,
Population count,FY2021,2021,june_year,5039908.648666221,persons,official_befu25_implied_population,Official BEFU25 implied annual population,Official BEFU25 annual,Official BEFU25 annual,16;17,X16;X17,"Light petrol VKT million km / Light petrol VKT per capita * 1,000,000",
PED total VKT,FY2021,2021,june_year,30564.39135996776,million km,derived_bridge,Official BEFU25 implied annual population,Official BEFU25 annual + Model annual,Official BEFU25 annual;Model annual,16;17;35,X16;X17;M35,"PED VKT per capita * population / 1,000,000",
PED source-backed litres,FY2021,2021,june_year,2984.451213198748,million L,source_backed_litres,Model annual PED volume,Model annual,Model annual,10,M10,direct source-backed PED litres row,
PED litres per 100km,FY2021,2021,june_year,9.764471270014178,L/100km,derived_bridge,source-backed litres divided by derived PED total VKT,Model annual + PED bridge,Model annual;Official BEFU25 annual;Model annual,10;16;17;35,M10;X16;X17;M35,PED source-backed litres / PED total VKT * 100,
Population count,FY2022,2022,june_year,5102766.324661494,persons,official_befu25_implied_population,Official BEFU25 implied annual population,Official BEFU25 annual,Official BEFU25 annual,16;17,Y16;Y17,"Light petrol VKT million km / Light petrol VKT per capita * 1,000,000",
PED total VKT,FY2022,2022,june_year,30881.688200129534,million km,derived_bridge,Official BEFU25 implied annual population,Official BEFU25 annual + Model annual,Official BEFU25 annual;Model annual,16;17;35,Y16;Y17;N35,"PED VKT per capita * population / 1,000,000",
PED source-backed litres,FY2022,2022,june_year,2973.9920650411773,million L,source_backed_litres,Model annual PED volume,Model annual,Model annual,10,N10,direct source-backed PED litres row,
PED litres per 100km,FY2022,2022,june_year,9.630276835152758,L/100km,derived_bridge,source-backed litres divided by derived PED total VKT,Model annual + PED bridge,Model annual;Official BEFU25 annual;Model annual,10;16;17;35,N10;Y16;Y17;N35,PED source-backed litres / PED total VKT * 100,
