source_release,workbook_basename,workbook_sha256,sheet,source_row,source_cell,source_year_cell,source_status_cell,source_formula,asserted_formula,FY,period,period_status,source_label,label,series_id,display_name,section,unit,metric_type,row_role,value,value_status,source_kind
MBU26,"Revenue forecast error, annual view from BEFU 2013-25.xlsx",9aaff21f72c0a10cfa972a29d3c4f716495c79cbd72fc28e8008a65558454e12,MBU26,10,C10,C6,C7,,,2001,FY2001,ACTUAL,Light RUC net km (m km),Light RUC net km,light_ruc_net_km,Light RUC net km,Key volumes,million km,activity,bridge_input,5664.92423,actual,mbu26_source_row
MBU26,"Revenue forecast error, annual view from BEFU 2013-25.xlsx",9aaff21f72c0a10cfa972a29d3c4f716495c79cbd72fc28e8008a65558454e12,MBU26,10,D10,D6,D7,,,2002,FY2002,ACTUAL,Light RUC net km (m km),Light RUC net km,light_ruc_net_km,Light RUC net km,Key volumes,million km,activity,bridge_input,6386.274088,actual,mbu26_source_row
MBU26,"Revenue forecast error, annual view from BEFU 2013-25.xlsx",9aaff21f72c0a10cfa972a29d3c4f716495c79cbd72fc28e8008a65558454e12,MBU26,10,E10,E6,E7,,,2003,FY2003,ACTUAL,Light RUC net km (m km),Light RUC net km,light_ruc_net_km,Light RUC net km,Key volumes,million km,activity,bridge_input,6049.305779,actual,mbu26_source_row
MBU26,"Revenue forecast error, annual view from BEFU 2013-25.xlsx",9aaff21f72c0a10cfa972a29d3c4f716495c79cbd72fc28e8008a65558454e12,MBU26,10,F10,F6,F7,,,2004,FY2004,ACTUAL,Light RUC net km (m km),Light RUC net km,light_ruc_net_km,Light RUC net km,Key volumes,million km,activity,bridge_input,6822.401291,actual,mbu26_source_row
MBU26,"Revenue forecast error, annual view from BEFU 2013-25.xlsx",9aaff21f72c0a10cfa972a29d3c4f716495c79cbd72fc28e8008a65558454e12,MBU26,10,G10,G6,G7,,,2005,FY2005,ACTUAL,Light RUC net km (m km),Light RUC net km,light_ruc_net_km,Light RUC net km,Key volumes,million km,activity,bridge_input,7530.569661,actual,mbu26_source_row
MBU26,"Revenue forecast error, annual view from BEFU 2013-25.xlsx",9aaff21f72c0a10cfa972a29d3c4f716495c79cbd72fc28e8008a65558454e12,MBU26,10,H10,H6,H7,,,2006,FY2006,ACTUAL,Light RUC net km (m km),Light RUC net km,light_ruc_net_km,Light RUC net km,Key volumes,million km,activity,bridge_input,7030.767248,actual,mbu26_source_row
MBU26,"Revenue forecast error, annual view from BEFU 2013-25.xlsx",9aaff21f72c0a10cfa972a29d3c4f716495c79cbd72fc28e8008a65558454e12,MBU26,10,I10,I6,I7,,,2007,FY2007,ACTUAL,Light RUC net km (m km),Light RUC net km,light_ruc_net_km,Light RUC net km,Key volumes,million km,activity,bridge_input,7464.686295,actual,mbu26_source_row
MBU26,"Revenue forecast error, annual view from BEFU 2013-25.xlsx",9aaff21f72c0a10cfa972a29d3c4f716495c79cbd72fc28e8008a65558454e12,MBU26,10,J10,J6,J7,,,2008,FY2008,ACTUAL,Light RUC net km (m km),Light RUC net km,light_ruc_net_km,Light RUC net km,Key volumes,million km,activity,bridge_input,7830.197444,actual,mbu26_source_row
MBU26,"Revenue forecast error, annual view from BEFU 2013-25.xlsx",9aaff21f72c0a10cfa972a29d3c4f716495c79cbd72fc28e8008a65558454e12,MBU26,10,K10,K6,K7,,,2009,FY2009,ACTUAL,Light RUC net km (m km),Light RUC net km,light_ruc_net_km,Light RUC net km,Key volumes,million km,activity,bridge_input,7549.161403,actual,mbu26_source_row
MBU26,"Revenue forecast error, annual view from BEFU 2013-25.xlsx",9aaff21f72c0a10cfa972a29d3c4f716495c79cbd72fc28e8008a65558454e12,MBU26,10,L10,L6,L7,,,2010,FY2010,ACTUAL,Light RUC net km (m km),Light RUC net km,light_ruc_net_km,Light RUC net km,Key volumes,million km,activity,bridge_input,7829.25488,actual,mbu26_source_row
MBU26,"Revenue forecast error, annual view from BEFU 2013-25.xlsx",9aaff21f72c0a10cfa972a29d3c4f716495c79cbd72fc28e8008a65558454e12,MBU26,10,M10,M6,M7,,,2011,FY2011,ACTUAL,Light RUC net km (m km),Light RUC net km,light_ruc_net_km,Light RUC net km,Key volumes,million km,activity,bridge_input,7818.038709,actual,mbu26_source_row
MBU26,"Revenue forecast error, annual view from BEFU 2013-25.xlsx",9aaff21f72c0a10cfa972a29d3c4f716495c79cbd72fc28e8008a65558454e12,MBU26,10,N10,N6,N7,,,2012,FY2012,ACTUAL,Light RUC net km (m km),Light RUC net km,light_ruc_net_km,Light RUC net km,Key volumes,million km,activity,bridge_input,7932.324522,actual,mbu26_source_row
MBU26,"Revenue forecast error, annual view from BEFU 2013-25.xlsx",9aaff21f72c0a10cfa972a29d3c4f716495c79cbd72fc28e8008a65558454e12,MBU26,10,O10,O6,O7,,,2013,FY2013,ACTUAL,Light RUC net km (m km),Light RUC net km,light_ruc_net_km,Light RUC net km,Key volumes,million km,activity,bridge_input,8150.161816,actual,mbu26_source_row
MBU26,"Revenue forecast error, annual view from BEFU 2013-25.xlsx",9aaff21f72c0a10cfa972a29d3c4f716495c79cbd72fc28e8008a65558454e12,MBU26,10,P10,P6,P7,,,2014,FY2014,ACTUAL,Light RUC net km (m km),Light RUC net km,light_ruc_net_km,Light RUC net km,Key volumes,million km,activity,bridge_input,8809.590297,actual,mbu26_source_row
MBU26,"Revenue forecast error, annual view from BEFU 2013-25.xlsx",9aaff21f72c0a10cfa972a29d3c4f716495c79cbd72fc28e8008a65558454e12,MBU26,10,Q10,Q6,Q7,,,2015,FY2015,ACTUAL,Light RUC net km (m km),Light RUC net km,light_ruc_net_km,Light RUC net km,Key volumes,million km,activity,bridge_input,9167.483044,actual,mbu26_source_row
MBU26,"Revenue forecast error, annual view from BEFU 2013-25.xlsx",9aaff21f72c0a10cfa972a29d3c4f716495c79cbd72fc28e8008a65558454e12,MBU26,10,R10,R6,R7,,,2016,FY2016,ACTUAL,Light RUC net km (m km),Light RUC net km,light_ruc_net_km,Light RUC net km,Key volumes,million km,activity,bridge_input,9669.475028,actual,mbu26_source_row
MBU26,"Revenue forecast error, annual view from BEFU 2013-25.xlsx",9aaff21f72c0a10cfa972a29d3c4f716495c79cbd72fc28e8008a65558454e12,MBU26,10,S10,S6,S7,,,2017,FY2017,ACTUAL,Light RUC net km (m km),Light RUC net km,light_ruc_net_km,Light RUC net km,Key volumes,million km,activity,bridge_input,10425.610839,actual,mbu26_source_row
MBU26,"Revenue forecast error, annual view from BEFU 2013-25.xlsx",9aaff21f72c0a10cfa972a29d3c4f716495c79cbd72fc28e8008a65558454e12,MBU26,10,T10,T6,T7,,,2018,FY2018,ACTUAL,Light RUC net km (m km),Light RUC net km,light_ruc_net_km,Light RUC net km,Key volumes,million km,activity,bridge_input,11112.22716,actual,mbu26_source_row
