scenario,june_year,light_ruc_conventional_share,light_ruc_bev_share,light_ruc_phev_share,heavy_bev_vkt_share,light_petrol_vkt_million_km,light_petrol_share_of_light_vkt
Base_EV,2025,0.892358,0.072132,0.035510,0.001932,31464.564011,0.682852
Base_EV,2026,0.871553,0.084300,0.044146,0.002179,31612.001087,0.677200
Base_EV,2027,0.843887,0.100828,0.055284,0.002525,31613.311622,0.669529
Base_EV,2028,0.809462,0.122362,0.068176,0.003192,31450.533980,0.659778
Base_EV,2029,0.771248,0.147130,0.081621,0.004330,31226.182382,0.648739
Base_EV,2030,0.732447,0.172989,0.094564,0.005965,30999.629979,0.637156
Base_EV,2031,0.694056,0.199459,0.106485,0.008248,30745.651137,0.625270
Base_EV,2032,0.655046,0.227075,0.117879,0.011465,30405.946287,0.612422
Base_EV,2033,0.614952,0.256837,0.128210,0.015686,29933.329540,0.597969
Base_EV,2034,0.573192,0.290136,0.136672,0.020694,29366.490437,0.581547
Base_EV,2035,0.530272,0.327151,0.142577,0.026349,28677.518824,0.562776
Base_EV,2036,0.487610,0.367510,0.144880,0.032767,27836.850552,0.541690
Base_EV,2037,0.445254,0.411012,0.143734,0.040042,26840.932631,0.518171
Base_EV,2038,0.403268,0.456570,0.140162,0.048134,25676.752574,0.492029
Base_EV,2039,0.361796,0.503171,0.135033,0.056970,24362.514492,0.462934
Base_EV,2040,0.322306,0.550009,0.127685,0.066513,22931.317110,0.431582
Base_EV,2041,0.286889,0.594783,0.118328,0.076773,21406.845074,0.399038
Base_EV,2042,0.256141,0.635098,0.108761,0.087715,19794.816629,0.365743
Base_EV,2043,0.229783,0.670273,0.099943,0.099300,18157.288535,0.333068
Base_EV,2044,0.207647,0.700139,0.092214,0.111613,16582.094549,0.302640
Base_EV,2045,0.188746,0.725980,0.085274,0.124720,15107.449482,0.274485
Base_EV,2046,0.171777,0.749417,0.078806,0.138509,13747.973158,0.248105
Base_EV,2047,0.156516,0.770567,0.072917,0.152862,12502.882596,0.223712
Base_EV,2048,0.142630,0.789759,0.067611,0.167713,11374.707777,0.201353
Base_EV,2049,0.130390,0.806719,0.062891,0.183004,10345.340121,0.181396
Base_EV,2050,0.119794,0.821498,0.058708,0.198635,9407.618822,0.163893
Fast_EV,2025,0.886565,0.074746,0.038689,0.001992,31370.883786,0.681079
Fast_EV,2026,0.860699,0.088718,0.050583,0.002317,31451.441245,0.674189
Fast_EV,2027,0.825712,0.108262,0.066026,0.002807,31353.630443,0.664652
Fast_EV,2028,0.783022,0.134209,0.082769,0.003798,31061.328251,0.652474
Fast_EV,2029,0.736682,0.164417,0.098901,0.005560,30685.917651,0.638693
Fast_EV,2030,0.690103,0.196166,0.113731,0.008216,30289.338664,0.624099
Fast_EV,2031,0.644526,0.228373,0.127101,0.012110,29838.776137,0.608828
Fast_EV,2032,0.599059,0.261642,0.139300,0.017855,29283.683281,0.592261
Fast_EV,2033,0.553243,0.297176,0.149581,0.025776,28588.804187,0.573856
Fast_EV,2034,0.506409,0.336032,0.157559,0.035671,27777.683082,0.553045
Fast_EV,2035,0.459004,0.378044,0.162952,0.047285,26825.031586,0.529479
Fast_EV,2036,0.412900,0.422558,0.164542,0.060637,25721.097332,0.503517
