FY,level,component,contribution_nzd_m,status
2026,1_total_nltf,net_fed_revenue,-6.001181497510743,observable
2026,1_total_nltf,total_ruc_net_revenue,-55.6824536824879,observable
2026,1_total_nltf,net_mvr_revenue,-1.1368683772161603e-13,observable
2026,1_total_nltf,tuc_and_other_fixed,0.0,observable
2026,1_total_nltf,closure_residual,-5.115907697472721e-12,residual
2027,1_total_nltf,net_fed_revenue,-97.6868654277605,observable
2027,1_total_nltf,total_ruc_net_revenue,-131.74172594866968,observable
2027,1_total_nltf,net_mvr_revenue,5.115907697472721e-13,observable
2027,1_total_nltf,tuc_and_other_fixed,0.0,observable
2027,1_total_nltf,closure_residual,-7.332801033044234e-12,residual
2028,1_total_nltf,net_fed_revenue,-155.69442009582417,observable
2028,1_total_nltf,total_ruc_net_revenue,-166.59361656598685,observable
2028,1_total_nltf,net_mvr_revenue,-3.410605131648481e-13,observable
2028,1_total_nltf,tuc_and_other_fixed,0.0,observable
2028,1_total_nltf,closure_residual,1.2505552149377763e-12,residual
2029,1_total_nltf,net_fed_revenue,-204.6403024915562,observable
2029,1_total_nltf,total_ruc_net_revenue,-225.77070609109978,observable
2029,1_total_nltf,net_mvr_revenue,-2.2737367544323206e-13,observable
2029,1_total_nltf,tuc_and_other_fixed,0.0,observable
2029,1_total_nltf,closure_residual,1.1368683772161603e-12,residual
2030,1_total_nltf,net_fed_revenue,-253.77558144311797,observable
2030,1_total_nltf,total_ruc_net_revenue,-306.11904435040015,observable
2030,1_total_nltf,net_mvr_revenue,-5.115907697472721e-13,observable
2030,1_total_nltf,tuc_and_other_fixed,0.0,observable
2030,1_total_nltf,closure_residual,4.547473508864641e-12,residual
2026,2_net_fed,gross_ped_revenue,-6.001181497510515,observable
2026,2_net_fed,lpg_and_cng,0.0,shared_mbu26_assumption
2026,2_net_fed,fed_refunds,0.0,shared_mbu26_assumption
2026,2_net_fed,closure_residual,-2.2737367544323206e-13,residual
2027,2_net_fed,gross_ped_revenue,-97.68686542776504,observable
2027,2_net_fed,lpg_and_cng,0.0,shared_mbu26_assumption
