FY,class,current_activity_million_km,official_activity_million_km,activity_difference_million_km,shared_effective_rate_nzd_m_per_million_km,activity_driven_dollar_difference_nzd_m,actual_revenue_difference_nzd_m
2026,conventional_light_ruc,12352.557824257878,12899.1247322853,-546.566908027422,0.06774226875718223,-37.025682377375716,-37.02568237737569
2026,light_bev_ruc,1192.0988218478135,1209.37911079624,-17.28028894842646,0.06736085209075052,-1.1640149879403856,-1.1640149879403907
2026,phev_ruc,624.3438192266098,633.39411052937,-9.050291302760229,0.0344814091839728,-0.3120667976446257,-0.31206679764462564
2026,heavy_ruc,4045.112836987535,4106.65708028096,-61.5442432934251,0.27918201743834453,-17.182046004374723,-17.182046004374797
2027,conventional_light_ruc,11893.795047719985,12939.636710647,-1045.841662927016,0.0729322630778464,-76.27559929836548,-76.27559929836548
2027,light_bev_ruc,1485.95887922949,1572.19480045545,-86.23592122595983,0.07291343090682693,-6.287756883995592,-6.287756883995584
2027,phev_ruc,818.9278962586613,866.45343854562,-47.525542286958625,0.03659537240725881,-1.7392149188481776,-1.7392149188481802
2027,heavy_ruc,4100.270092100126,4256.14265648045,-155.87256438032364,0.3003231710918972,-46.8121428209247,-46.81214282092492
2028,conventional_light_ruc,12336.184183531306,13427.7171481819,-1091.5329646505943,0.08131214805600769,-88.75489002968213,-88.7548900296822
2028,light_bev_ruc,1852.8197111800268,1989.37597979678,-136.5562686167532,0.08134999999999998,-11.108852451972869,-11.108852451972865
2028,phev_ruc,1037.662324130385,1114.1399728797,-76.477648749315,0.04011500000000012,-3.0679008795787803,-3.0679008795787794
2028,heavy_ruc,4134.118313509229,4323.42005434382,-189.30174083459133,0.33383580761728604,-63.195699534873974,-63.195699534874166
2029,conventional_light_ruc,12521.359028290877,13926.5605658137,-1405.201537522822,0.08612386911319989,-121.02139329528276,-121.0213932952829
2029,light_bev_ruc,2288.40837340828,2502.17964433063,-213.7712709223497,0.08613499999999968,-18.41318842089652,-18.413188420896518
2029,phev_ruc,1275.0892857965052,1394.20153006706,-119.11224427055481,0.04247499999999995,-5.05929257539181,-5.059292575391808
2029,heavy_ruc,4171.7860513357455,4400.67521803142,-228.88916669567425,0.35350703540164163,-80.91393075413997,-80.91393075413998
2030,conventional_light_ruc,12519.461907387322,14402.4384228319,-1882.9765154445777,0.08995414577228922,-169.38154395609874,-169.38154395609877
2030,light_bev_ruc,2751.233821402135,3074.13637597232,-322.90255457018475,0.08996500000000007,-29.049928321906695,-29.04992832190672
2030,phev_ruc,1511.5166685185566,1688.91801832143,-177.40134980287348,0.044364999999999856,-7.870410884004457,-7.870410884004457
2030,heavy_ruc,4205.391266929527,4474.70373343995,-269.3124665104233,0.36921393100505956,-99.43391442898184,-99.43391442898178
