FY,component,contribution_nzd_m,share_of_gap_pct,status
2026,ped_vkt_per_capita,71.1067787834636,-115.27656983243821,observable
2026,population_implied,-77.10796028097394,125.00553843164258,observable
2026,conventional_light_ruc,-37.02568237737569,60.02513027860328,observable
2026,light_bev_ruc,-1.1640149879403907,1.887072615846305,observable
2026,phev_ruc,-0.31206679764462564,0.5059150562932274,observable
2026,heavy_ruc,-17.182046004374797,27.855112550086446,observable
2026,heavy_bev_admin_and_refunds,0.001356484847597983,-0.0021991000427252993,observable
2026,net_mvr_and_fixed_lines,-1.1368683772161603e-13,1.8430631947980614e-13,observable
2026,closure_residual,-5.5138116294983774e-12,8.938856494770597e-12,residual
2026,total_gap,-61.683635180003876,100.0,target
2027,ped_vkt_per_capita,15.277685419267637,-6.659015481728099,observable
2027,population_implied,-112.96455084703263,49.23734664860712,observable
2027,conventional_light_ruc,-76.27559929836548,33.24589966784725,observable
2027,light_bev_ruc,-6.287756883995584,2.7406160872421044,observable
2027,phev_ruc,-1.7392149188481802,0.7580637218813534,observable
2027,heavy_ruc,-46.81214282092492,20.403796466726103,observable
2027,heavy_bev_admin_and_refunds,-0.6270120265355104,0.273292889423156,observable
2027,net_mvr_and_fixed_lines,5.115907697472721e-13,-2.2298474949352544e-13,observable
2027,closure_residual,-2.8421709430404007e-12,1.2388041638529192e-12,residual
2027,total_gap,-229.428591376437,100.0,target
2028,ped_vkt_per_capita,1.1462736034197387,-0.35566743813782015,observable
2028,population_implied,-156.84069369924848,48.66475818456388,observable
2028,conventional_light_ruc,-88.7548900296822,27.53899615666352,observable
2028,light_bev_ruc,-11.108852451972865,3.446870869622081,observable
2028,phev_ruc,-3.0679008795787794,0.9519127397204794,observable
2028,heavy_ruc,-63.195699534874166,19.60845341621786,observable
2028,heavy_bev_admin_and_refunds,-0.4662736698788308,0.14467607135169916,observable
2028,net_mvr_and_fixed_lines,-3.410605131648481e-13,1.058247512683e-13,observable
2028,closure_residual,5.7980287238024175e-12,-1.7990207715611e-12,residual
2028,total_gap,-322.2880366618101,100.0,target
2029,ped_vkt_per_capita,-3.358539493464302,0.7803098495375348,observable
2029,population_implied,-201.28176299809107,46.7650127400116,observable
2029,conventional_light_ruc,-121.0213932952829,28.11763428026778,observable
2029,light_bev_ruc,-18.413188420896518,4.278047738957981,observable
2029,phev_ruc,-5.059292575391808,1.175456127865334,observable
2029,heavy_ruc,-80.91393075413998,18.799224262546126,observable
2029,heavy_bev_admin_and_refunds,-0.3629010453885826,0.08431500081366808,observable
2029,net_mvr_and_fixed_lines,-2.2737367544323206e-13,5.28271050017922e-14,observable
2029,closure_residual,2.8421709430404007e-13,-6.603388125224026e-14,residual
2029,total_gap,-430.4110085826551,100.0,target
2030,ped_vkt_per_capita,-7.325055358095158,1.3082917786027468,observable
2030,population_implied,-246.45052608502237,44.01730517340453,observable
2030,conventional_light_ruc,-169.38154395609877,30.252396817712217,observable
2030,light_bev_ruc,-29.04992832190672,5.188463504313072,observable
2030,phev_ruc,-7.870410884004457,1.405695022139223,observable
2030,heavy_ruc,-99.43391442898178,17.75939790242824,observable
2030,heavy_bev_admin_and_refunds,-0.3832467594083937,0.068449801400618,observable
2030,net_mvr_and_fixed_lines,-5.115907697472721e-13,9.137268803432735e-14,observable
2030,closure_residual,4.092726157978177e-12,-7.309815042746188e-13,residual
2030,total_gap,-559.894625793514,100.0,target
