FY,component,contribution_nzd_m,status
2026,ped_vkt_per_capita,71.10652442420167,observable
2026,population_scaling,-1.2002681530180994,derived_from_official_outputs_not_independently_published
2026,ev_phev_migration_allocation,-75.90743776869421,observable_bridge_term
2026,fuel_intensity,0.0,shared_mbu26_assumption
2026,effective_ped_rate,0.0,shared_mbu26_assumption
2026,lpg_cng_and_fed_refunds,0.0,shared_mbu26_assumption
2026,closure_residual,1.1191048088221578e-13,residual
2027,ped_vkt_per_capita,15.277110720661009,observable
2027,population_scaling,-10.169651099564147,derived_from_official_outputs_not_independently_published
2027,ev_phev_migration_allocation,-102.79432504886188,observable_bridge_term
2027,fuel_intensity,0.0,shared_mbu26_assumption
2027,effective_ped_rate,0.0,shared_mbu26_assumption
2027,lpg_cng_and_fed_refunds,0.0,shared_mbu26_assumption
2027,closure_residual,-2.842170943040401e-14,residual
2028,ped_vkt_per_capita,1.1461991795030564,observable
2028,population_scaling,-15.59773304183039,derived_from_official_outputs_not_independently_published
2028,ev_phev_migration_allocation,-141.24288623350125,observable_bridge_term
2028,fuel_intensity,0.0,shared_mbu26_assumption
2028,effective_ped_rate,0.0,shared_mbu26_assumption
2028,lpg_cng_and_fed_refunds,0.0,shared_mbu26_assumption
2028,closure_residual,3.126388037344441e-13,residual
2029,ped_vkt_per_capita,-3.3581966533670893,observable
2029,population_scaling,-21.138643021134843,derived_from_official_outputs_not_independently_published
2029,ev_phev_migration_allocation,-180.14346281705343,observable_bridge_term
2029,fuel_intensity,0.0,shared_mbu26_assumption
2029,effective_ped_rate,0.0,shared_mbu26_assumption
2029,lpg_cng_and_fed_refunds,0.0,shared_mbu26_assumption
2029,closure_residual,5.684341886080802e-14,residual
2030,ped_vkt_per_capita,-7.323981585953957,observable
2030,population_scaling,-26.606419314962633,derived_from_official_outputs_not_independently_published
2030,ev_phev_migration_allocation,-219.8451805422008,observable_bridge_term
2030,fuel_intensity,0.0,shared_mbu26_assumption
2030,effective_ped_rate,0.0,shared_mbu26_assumption
2030,lpg_cng_and_fed_refunds,0.0,shared_mbu26_assumption
2030,closure_residual,-5.684341886080801e-13,residual
